Player,Chwaraewraig,Squad,Carfan
Charlie Estcourt,Charlie Estcourt,Charlton Athletic,Athletig Charlton
Lillie Maple,Lillie Maple,Charlton Athletic,Athletig Charlton
Shanell Salgado,Shanell Salgado,Charlton Athletic,Athletig Charlton
Ciara Watling,Ciara Watling,Charlton Athletic,Athletig Charlton
Rachel Newborough,Rachel Newborough,Charlton Athletic,Athletig Charlton
Grace Coombs,Grace Coombs,Charlton Athletic,Athletig Charlton
Ellie Dorey,Ellie Dorey,Charlton Athletic,Athletig Charlton
Charley Clifford,Charley Clifford,Charlton Athletic,Athletig Charlton
Jaime Gotch,Jaime Gotch,Charlton Athletic,Athletig Charlton
Melanie Parreno-Espinosa,Melanie Parreno-Espinosa,Charlton Athletic,Athletig Charlton
Alice Griffiths,Alice Griffiths,Charlton Athletic,Athletig Charlton
Georgia Griffin,Georgia Griffin,Charlton Athletic,Athletig Charlton
Sophie Ingle,Sophie Ingle,Chelsea,Chelsea
Maria Thorisdottir,Maria Thorisdottir,Chelsea,Chelsea
Hannah Blundell,Hannah Blundell,Chelsea,Chelsea
Millie Bright,Millie Bright,Chelsea,Chelsea
Jessica Carter,Jessica Carter,Chelsea,Chelsea
Melanie Leupolz,Melanie Leupolz,Chelsea,Chelsea
Bethany England,Bethany England,Chelsea,Chelsea
Ji So-yun,Ji So-yun,Chelsea,Chelsea
Guro Reiten,Guro Reiten,Chelsea,Chelsea
Fran Kirby,Fran Kirby,Chelsea,Chelsea
Magdalena Eriksson,Magdalena Eriksson,Chelsea,Chelsea
Jessie Fleming,Jessie Fleming,Chelsea,Chelsea
Ffion Morgan,Ffion Morgan,Coventry United,Unedig Cofentri
Chelsea Weston,Chelsea Weston,Coventry United,Unedig Cofentri
Sian Johnson,Sian Johnson,Coventry United,Unedig Cofentri
Nikki Miles,Nikki Miles,Coventry United,Unedig Cofentri
Marie Gauntlett,Marie Gauntlett,Coventry United,Unedig Cofentri
Shannon O'Brien,Shannon O'Brien,Coventry United,Unedig Cofentri
Amy Wathan,Amy Wathan,Coventry United,Unedig Cofentri
Amber Hughes,Amber Hughes,Coventry United,Unedig Cofentri
Hayley Crackle,Hayley Crackle,Coventry United,Unedig Cofentri
Dayna Chong,Dayna Chong,Coventry United,Unedig Cofentri
Helen Dermody,Helen Dermody,Coventry United,Unedig Cofentri
Kate Evans,Kate Evans,Coventry United,Unedig Cofentri
Angharad James,Angharad James,Reading,Reading
Natasha Harding ,Natasha Harding ,Reading,Reading
Rachel Rowe,Rachel Rowe,Reading,Reading
Lily Woodham,Lily Woodham,Reading,Reading
Kristine Bjordal Leine,Kristine Bjordal Leine,Reading,Reading
Fara Williams,Fara Williams,Reading,Reading
Molly Bartrip,Molly Bartrip,Reading,Reading
Amalie Eikeland,Amalie Eikeland,Reading,Reading
Lauren Bruton,Lauren Bruton,Reading,Reading
Brooke Chaplen,Brooke Chaplen,Reading,Reading
Kiera Skeels,Kiera Skeels,Reading,Reading
Beth Roberts,Beth Roberts,Reading,Reading
Sophie Quirk,Sophie Quirk,Reading,Reading
Rhiannon Stewart,Rhiannon Stewart,Reading,Reading
Deanna Cooper,Deanna Cooper,Reading,Reading
Anna Filbey,Anna Filbey,Tottenham Hotspur,Tottenham Hotspur
Josie Green,Josie Green,Tottenham Hotspur,Tottenham Hotspur
Aurora Mikalsen,Aurora Mikalsen,Tottenham Hotspur,Tottenham Hotspur
Lucia Leon,Lucia Leon,Tottenham Hotspur,Tottenham Hotspur
Ria Percival,Ria Percival,Tottenham Hotspur,Tottenham Hotspur
Kerys Harrop,Kerys Harrop,Tottenham Hotspur,Tottenham Hotspur
Gemma Davison,Gemma Davison,Tottenham Hotspur,Tottenham Hotspur
Chloe Peplow,Chloe Peplow,Tottenham Hotspur,Tottenham Hotspur
Rianna Dean,Rianna Dean,Tottenham Hotspur,Tottenham Hotspur
Rachel Williams,Rachel Williams,Tottenham Hotspur,Tottenham Hotspur
Angela Addison,Angela Addison,Tottenham Hotspur,Tottenham Hotspur
Siri Worm,Siri Worm,Tottenham Hotspur,Tottenham Hotspur
