given_nameLabel,lastnameLabel,birthdate,deathdate,nationalityLabel,itemDescription,place_of_birthLabel,educated_atLabel,award_receivedLabel,,,,enw_aroddirLabel,cyfenwLabel,dyddiadgeni,dyddiadmarwolaeth,cenedligrwyddLabel,eitemDisgrifiad,man_geniLabel,addysgwyd_ynLabel,wobr_a dderbyniwydLabel
Annie,Betts,1884-01-01,01/01/1961,United Kingdom,British apiculturist and expert on bee diseases,,,,,,,Annie,Betts,1884-01-01,01/01/1961,Y Deyrnas Unedig,Gwenynyddwr Prydeinig ac arbenigwr ar glefydau gwenyn,,,
Dorothy,Betts,1884-01-01,01/01/1961,United Kingdom,British apiculturist and expert on bee diseases,,,,,,,Dorothy,Betts,1884-01-01,01/01/1961,Y Deyrnas Unedig,Gwenynyddwr Prydeinig ac arbenigwr ar glefydau gwenyn,,,
Becky,Parker,,,United Kingdom,British physicist and physics teacher,,University of Sussex,,,,,Becky,Parker,,,Y Deyrnas Unedig,Ffisegydd ac athro ffiseg Prydeinig ,,Prifysgol Sussex,
Caroline,McMillen,23/09/1954,,United Kingdom,Australian medical and health academic,Belfast,University of Oxford,Fellow of the Australian Academy of Health and Medical Sciences,,,,Caroline,McMillen,23/09/1954,,Y Deyrnas Unedig,Academydd meddygol ac iechyd Awstralaidd,Belffast,Prifysgol Rhydychen,Cymrawd Academi Iechyd a Gwyddorau Meddygol Awstralia
Caroline,McMillen,23/09/1954,,United Kingdom,Australian medical and health academic,Belfast,University of Cambridge,Fellow of the Australian Academy of Health and Medical Sciences,,,,Caroline,McMillen,23/09/1954,,Y Deyrnas Unedig,Academydd meddygol ac iechyd Awstralaidd,Belffast,Prifysgol Caergrawnt,Cymrawd Academi Iechyd a Gwyddorau Meddygol Awstralia
Caroline,McMillen,23/09/1954,,United Kingdom,Australian medical and health academic,Belfast,University of Oxford,Fellow of the Royal Society of New South Wales,,,,Caroline,McMillen,23/09/1954,,Y Deyrnas Unedig,Academydd meddygol ac iechyd Awstralaidd,Belffast,Prifysgol Rhydychen,Cymrawd Cymdeithas Frenhinol New South Wales
Caroline,McMillen,23/09/1954,,United Kingdom,Australian medical and health academic,Belfast,University of Cambridge,Fellow of the Royal Society of New South Wales,,,,Caroline,McMillen,23/09/1954,,Y Deyrnas Unedig,Academydd meddygol ac iechyd Awstralaidd,Belffast,Prifysgol Caergrawnt,Cymrawd Cymdeithas Frenhinol New South Wales
Christina,Miller,1899-08-29,16/07/2001,United Kingdom,Scottish chemist,Coatbridge,University of Edinburgh,Keith Medal,,,,Christina,Miller,1899-08-29,16/07/2001,Y Deyrnas Unedig,Cemegydd o'r Alban,Coatbridge,Prifysgol Caeredin,Medel Keith
Christina,Miller,1899-08-29,16/07/2001,United Kingdom,Scottish chemist,Coatbridge,Heriot-Watt University,Keith Medal,,,,Christina,Miller,1899-08-29,16/07/2001,Y Deyrnas Unedig,Cemegydd o'r Alban,Coatbridge,Prifysgol Heriot-Watt ,Medel Keith
Christina,Miller,1899-08-29,16/07/2001,United Kingdom,Scottish chemist,Coatbridge,University of Edinburgh,Fellow of the Royal Society of Edinburgh,,,,Christina,Miller,1899-08-29,16/07/2001,Y Deyrnas Unedig,Cemegydd o'r Alban,Coatbridge,Prifysgol Caeredin,Cymrawd Cymdeithas Frenhinol Caeredin
Christina,Miller,1899-08-29,16/07/2001,United Kingdom,Scottish chemist,Coatbridge,Heriot-Watt University,Fellow of the Royal Society of Edinburgh,,,,Christina,Miller,1899-08-29,16/07/2001,Y Deyrnas Unedig,Cemegydd o'r Alban,Coatbridge,Prifysgol Heriot-Watt ,Cymrawd Cymdeithas Frenhinol Caeredin
Christina,Koning,01/01/1954,,United Kingdom,British writer,Kuala Belait,Girton College,Encore Award,,,,Christina,Koning,01/01/1954,,Y Deyrnas Unedig,Awdur Prydeinig ,Kuala Belait,Coleg Girton ,Gwobr Encore 
Claire,,01/01/1981,,United Kingdom,British linguist,Dewsbury,University of Lancaster,,,,,Claire,,01/01/1981,,Y Deyrnas Unedig,Ieithyddwr Prydeinig,Dewsbury,Prifysgol Caerhirfryn,
Eleanor,Fuchs,01/01/1919,11/04/2003,United Kingdom,British Antarctic scientist who won the 1975 Fuchs Medal of the British Antarctic Survey (BAS) in recognition of her service to the BAS and its predecessor the Falklands Islands Dependencies Survey (FIDS),,,,,,,Eleanor,Fuchs,01/01/1919,11/04/2003,Y Deyrnas Unedig,Gwydonydd Antarctig Prydeinig a enillodd Fedel Fuchs 1975 Arolwg Antarctig Prydain (BAS) i gydnabod ei gwasanaeth i BAS a'i ragflaenydd yr Arolwg Ynysoedd Dibynnol Falkland (FIDS),,,
Eleanor,Biscoe,01/01/1919,11/04/2003,United Kingdom,British Antarctic scientist who won the 1975 Fuchs Medal of the British Antarctic Survey (BAS) in recognition of her service to the BAS and its predecessor the Falklands Islands Dependencies Survey (FIDS),,,,,,,Eleanor,Biscoe,01/01/1919,11/04/2003,Y Deyrnas Unedig,Gwydonydd Antarctig Prydeinig a enillodd Fedel Fuchs 1975 Arolwg Antarctig Prydain (BAS) i gydnabod ei gwasanaeth i BAS a'i ragflaenydd yr Arolwg Ynysoedd Dibynnol Falkland (FIDS),,,
Eleanor,Honnywill,01/01/1919,11/04/2003,United Kingdom,British Antarctic scientist who won the 1975 Fuchs Medal of the British Antarctic Survey (BAS) in recognition of her service to the BAS and its predecessor the Falklands Islands Dependencies Survey (FIDS),,,,,,,Eleanor,Honnywill,01/01/1919,11/04/2003,Y Deyrnas Unedig,Gwydonydd Antarctig Prydeinig a enillodd Fedel Fuchs 1975 Arolwg Antarctig Prydain (BAS) i gydnabod ei gwasanaeth i BAS a'i ragflaenydd yr Arolwg Ynysoedd Dibynnol Falkland (FIDS),,,
Eleanor,Fuchs,01/01/1919,11/04/2003,United Kingdom of Great Britain and Ireland,British Antarctic scientist who won the 1975 Fuchs Medal of the British Antarctic Survey (BAS) in recognition of her service to the BAS and its predecessor the Falklands Islands Dependencies Survey (FIDS),,,,,,,Eleanor,Fuchs,01/01/1919,11/04/2003,Teyrnas Unedig Prydain Fawr ac Iwerddon,Gwydonydd Antarctig Prydeinig a enillodd Fedel Fuchs 1975 Arolwg Antarctig Prydain (BAS) i gydnabod ei gwasanaeth i BAS a'i ragflaenydd yr Arolwg Ynysoedd Dibynnol Falkland (FIDS),,,
Eleanor,Biscoe,01/01/1919,11/04/2003,United Kingdom of Great Britain and Ireland,British Antarctic scientist who won the 1975 Fuchs Medal of the British Antarctic Survey (BAS) in recognition of her service to the BAS and its predecessor the Falklands Islands Dependencies Survey (FIDS),,,,,,,Eleanor,Biscoe,01/01/1919,11/04/2003,Teyrnas Unedig Prydain Fawr ac Iwerddon,Gwydonydd Antarctig Prydeinig a enillodd Fedel Fuchs 1975 Arolwg Antarctig Prydain (BAS) i gydnabod ei gwasanaeth i BAS a'i ragflaenydd yr Arolwg Ynysoedd Dibynnol Falkland (FIDS),,,
Eleanor,Honnywill,01/01/1919,11/04/2003,United Kingdom of Great Britain and Ireland,British Antarctic scientist who won the 1975 Fuchs Medal of the British Antarctic Survey (BAS) in recognition of her service to the BAS and its predecessor the Falklands Islands Dependencies Survey (FIDS),,,,,,,Eleanor,Honnywill,01/01/1919,11/04/2003,Teyrnas Unedig Prydain Fawr ac Iwerddon,Gwydonydd Antarctig Prydeinig a enillodd Fedel Fuchs 1975 Arolwg Antarctig Prydain (BAS) i gydnabod ei gwasanaeth i BAS a'i ragflaenydd yr Arolwg Ynysoedd Dibynnol Falkland (FIDS),,,
Elizabeth,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,University of London,Officer of the Order of the British Empire,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Llundain,Swyddog Urdd yr Ymerodraeth Brydeinig
Elizabeth,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,University of London,Officer of the Order of the British Empire,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Llundain,Swyddog Urdd yr Ymerodraeth Brydeinig
Elizabeth,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,University of Canterbury,Officer of the Order of the British Empire,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Caergaint,Swyddog Urdd yr Ymerodraeth Brydeinig
Elizabeth,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,University of Canterbury,Officer of the Order of the British Empire,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Caergaint,Swyddog Urdd yr Ymerodraeth Brydeinig
Elizabeth,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Officer of the Order of the British Empire,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,"Coleg St Margaret, Christchurch",Swyddog Urdd yr Ymerodraeth Brydeinig
Elizabeth,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Officer of the Order of the British Empire,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,"Coleg St Margaret, Christchurch",Swyddog Urdd yr Ymerodraeth Brydeinig
Alice,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,University of London,Officer of the Order of the British Empire,,,,Alice,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Llundain,Swyddog Urdd yr Ymerodraeth Brydeinig
Alice,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,University of London,Officer of the Order of the British Empire,,,,Alice,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Llundain,Swyddog Urdd yr Ymerodraeth Brydeinig
Alice,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,University of Canterbury,Officer of the Order of the British Empire,,,,Alice,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Caergaint,Swyddog Urdd yr Ymerodraeth Brydeinig
Alice,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,University of Canterbury,Officer of the Order of the British Empire,,,,Alice,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Caergaint,Swyddog Urdd yr Ymerodraeth Brydeinig
Alice,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Officer of the Order of the British Empire,,,,Alice,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,"Coleg St Margaret, Christchurch",Swyddog Urdd yr Ymerodraeth Brydeinig
Alice,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Officer of the Order of the British Empire,,,,Alice,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,"Coleg St Margaret, Christchurch",Swyddog Urdd yr Ymerodraeth Brydeinig
Elizabeth,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,University of London,New Zealand 1990 Commemoration Medal,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Llundain,Medel Coff�u 1990 Seland Newydd 
Elizabeth,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,University of London,New Zealand 1990 Commemoration Medal,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Llundain,Medel Coff�u 1990 Seland Newydd 
Elizabeth,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,University of Canterbury,New Zealand 1990 Commemoration Medal,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Caergaint,Medel Coff�u 1990 Seland Newydd 
Elizabeth,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,University of Canterbury,New Zealand 1990 Commemoration Medal,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Caergaint,Medel Coff�u 1990 Seland Newydd 
Elizabeth,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",New Zealand 1990 Commemoration Medal,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,"Coleg St Margaret, Christchurch",Medel Coff�u 1990 Seland Newydd 
Elizabeth,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",New Zealand 1990 Commemoration Medal,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,"Coleg St Margaret, Christchurch",Medel Coff�u 1990 Seland Newydd 
Alice,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,University of London,New Zealand 1990 Commemoration Medal,,,,Alice,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Llundain,Medel Coff�u 1990 Seland Newydd 
Alice,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,University of London,New Zealand 1990 Commemoration Medal,,,,Alice,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Llundain,Medel Coff�u 1990 Seland Newydd 
Alice,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,University of Canterbury,New Zealand 1990 Commemoration Medal,,,,Alice,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Caergaint,Medel Coff�u 1990 Seland Newydd 
Alice,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,University of Canterbury,New Zealand 1990 Commemoration Medal,,,,Alice,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Caergaint,Medel Coff�u 1990 Seland Newydd 
Alice,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",New Zealand 1990 Commemoration Medal,,,,Alice,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,"Coleg St Margaret, Christchurch",Medel Coff�u 1990 Seland Newydd 
Alice,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",New Zealand 1990 Commemoration Medal,,,,Alice,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,"Coleg St Margaret, Christchurch",Medel Coff�u 1990 Seland Newydd 
Elizabeth,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,University of London,Fellow of the Linnean Society of London,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Llundain,Cymrawd Cymdeithas Linnean Llundain
Elizabeth,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,University of London,Fellow of the Linnean Society of London,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Llundain,Cymrawd Cymdeithas Linnean Llundain
Elizabeth,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,University of Canterbury,Fellow of the Linnean Society of London,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Caergaint,Cymrawd Cymdeithas Linnean Llundain
Elizabeth,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,University of Canterbury,Fellow of the Linnean Society of London,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Caergaint,Cymrawd Cymdeithas Linnean Llundain
Elizabeth,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Fellow of the Linnean Society of London,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,"Coleg St Margaret, Christchurch",Cymrawd Cymdeithas Linnean Llundain
Elizabeth,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Fellow of the Linnean Society of London,,,,Elizabeth,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,"Coleg St Margaret, Christchurch",Cymrawd Cymdeithas Linnean Llundain
Alice,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,University of London,Fellow of the Linnean Society of London,,,,Alice,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Llundain,Cymrawd Cymdeithas Linnean Llundain
Alice,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,University of London,Fellow of the Linnean Society of London,,,,Alice,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Llundain,Cymrawd Cymdeithas Linnean Llundain
Alice,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,University of Canterbury,Fellow of the Linnean Society of London,,,,Alice,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Caergaint,Cymrawd Cymdeithas Linnean Llundain
Alice,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,University of Canterbury,Fellow of the Linnean Society of London,,,,Alice,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,Prifysgol Caergaint,Cymrawd Cymdeithas Linnean Llundain
Alice,Flint,26/05/1909,07/12/2011,United Kingdom,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Fellow of the Linnean Society of London,,,,Alice,Flint,26/05/1909,07/12/2011,Y Deyrnas Unedig,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,"Coleg St Margaret, Christchurch",Cymrawd Cymdeithas Linnean Llundain
Alice,Flint,26/05/1909,07/12/2011,New Zealand,British born New Zealand botanist (1909-2011),London,"St Margaret's College, Christchurch",Fellow of the Linnean Society of London,,,,Alice,Flint,26/05/1909,07/12/2011,Seland Newydd,Botanegydd Seland Newydd a anwyd ym Mhrydain (1909-2011),Llundain,"Coleg St Margaret, Christchurch",Cymrawd Cymdeithas Linnean Llundain
Elizabeth,Tasker,12/07/1980,,United Kingdom,Astronomer,,Durham University,,,,,Elizabeth,Tasker,12/07/1980,,Y Deyrnas Unedig,Seryddwr,,Prifysgol Durham,
Ethel,Bidwell,01/01/1919,01/01/2003,United Kingdom,research scientist in blood coagulation,,,,,,,Ethel,Bidwell,01/01/1919,01/01/2003,Y Deyrnas Unedig,gwyddonydd ymchwil ym maes ceulu'r gwaed,,,
Evelyn,,15/08/1901,31/01/1980,United Kingdom,present at opening of Tutankhamun's tomb,Highclere Castle,,,,,,Evelyn,,15/08/1901,31/01/1980,Y Deyrnas Unedig,yn bresennol yn agoriad beddrod Tutankhamun,Castell Highclere,,
Florence,Bell,01/05/1913,23/11/2000,United Kingdom,British X-ray crystallographer,London,University of Manchester,,,,,Florence,Bell,01/05/1913,23/11/2000,Y Deyrnas Unedig,Crisialegwr pelydr-x Prydeinig ,Llundain,Prifysgol Manceinion,
Florence,Bell,01/05/1913,23/11/2000,United Kingdom of Great Britain and Ireland,British X-ray crystallographer,London,University of Manchester,,,,,Florence,Bell,01/05/1913,23/11/2000,Teyrnas Unedig Prydain Fawr ac Iwerddon,Crisialegwr pelydr-x Prydeinig ,Llundain,Prifysgol Manceinion,
Florence,Bell,01/05/1913,23/11/2000,United Kingdom,British X-ray crystallographer,London,University of Leeds,,,,,Florence,Bell,01/05/1913,23/11/2000,Y Deyrnas Unedig,Crisialegwr pelydr-x Prydeinig ,Llundain,Prifysgol Leeds,
Florence,Bell,01/05/1913,23/11/2000,United Kingdom of Great Britain and Ireland,British X-ray crystallographer,London,University of Leeds,,,,,Florence,Bell,01/05/1913,23/11/2000,Teyrnas Unedig Prydain Fawr ac Iwerddon,Crisialegwr pelydr-x Prydeinig ,Llundain,Prifysgol Leeds,
Florence,Bell,01/05/1913,23/11/2000,United Kingdom,British X-ray crystallographer,London,Girton College,,,,,Florence,Bell,01/05/1913,23/11/2000,Y Deyrnas Unedig,Crisialegwr pelydr-x Prydeinig ,Llundain,Coleg Girton ,
Florence,Bell,01/05/1913,23/11/2000,United Kingdom of Great Britain and Ireland,British X-ray crystallographer,London,Girton College,,,,,Florence,Bell,01/05/1913,23/11/2000,Teyrnas Unedig Prydain Fawr ac Iwerddon,Crisialegwr pelydr-x Prydeinig ,Llundain,Coleg Girton ,
Florence,Bell,01/05/1913,23/11/2000,United Kingdom,British X-ray crystallographer,London,Victoria University of Manchester,,,,,Florence,Bell,01/05/1913,23/11/2000,Y Deyrnas Unedig,Crisialegwr pelydr-x Prydeinig ,Llundain,Prifysgol Victoria Manceinion,
Florence,Bell,01/05/1913,23/11/2000,United Kingdom of Great Britain and Ireland,British X-ray crystallographer,London,Victoria University of Manchester,,,,,Florence,Bell,01/05/1913,23/11/2000,Teyrnas Unedig Prydain Fawr ac Iwerddon,Crisialegwr pelydr-x Prydeinig ,Llundain,Prifysgol Victoria Manceinion,
Florence,Bell,01/05/1913,23/11/2000,United Kingdom,British X-ray crystallographer,London,Haberdashers' Aske's School for Girls,,,,,Florence,Bell,01/05/1913,23/11/2000,Y Deyrnas Unedig,Crisialegwr pelydr-x Prydeinig ,Llundain,Ysgol Merched Aske Haberdashers,
Florence,Bell,01/05/1913,23/11/2000,United Kingdom of Great Britain and Ireland,British X-ray crystallographer,London,Haberdashers' Aske's School for Girls,,,,,Florence,Bell,01/05/1913,23/11/2000,Teyrnas Unedig Prydain Fawr ac Iwerddon,Crisialegwr pelydr-x Prydeinig ,Llundain,Ysgol Merched Aske Haberdashers,
Elizabeth,,1850-01-01,,United Kingdom,English pharmacist,,,,,,,Elizabeth,,1850-01-01,,Y Deyrnas Unedig,Fferyllydd Seisnig,,,
Frances,,1850-01-01,,United Kingdom,English pharmacist,,,,,,,Frances,,1850-01-01,,Y Deyrnas Unedig,Fferyllydd Seisnig,,,
