Team ,Position on team,Country of Citizenship,Given Name,Family Name ,Date of Birth,Date of Death,Sex,Place of birth,Place of death,,,Tîm,Safle ar y tîm,Gwlad Dinasyddiaeth,Enw a Roddir,Enw Teulu ,Dyddiad Geni,Dyddiad Marwolaeth,Rhyw,Man Geni,Man Marwolaeth
Great Britain national rugby league team,,Wales,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,,Cymru,Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Wales national rugby league team,,Wales,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Swansea RFC,,Wales,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Clwb Rygbi Abertawe ,,Cymru,Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Oldham Roughyeds,,United Kingdom,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Oldham Roughyeds,,Y Deyrnas Unedig,Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Broughton Rangers,,United Kingdom,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Broughton Rangers,,Y Deyrnas Unedig,Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Great Britain national rugby league team,,United Kingdom,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,,Y Deyrnas Unedig,Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Wales national rugby league team,,United Kingdom,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Y Deyrnas Unedig,Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Swansea RFC,,United Kingdom,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Clwb Rygbi Abertawe ,,Y Deyrnas Unedig,Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Oldham Roughyeds,,United Kingdom of Great Britain and Ireland,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Oldham Roughyeds,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Broughton Rangers,,United Kingdom of Great Britain and Ireland,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Broughton Rangers,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Great Britain national rugby league team,,United Kingdom of Great Britain and Ireland,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Swansea RFC,,United Kingdom of Great Britain and Ireland,Doug,Phillips,28/06/1919,28/04/2000,male,Neath,,,,Clwb Rygbi Abertawe ,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Doug,Phillips,28/06/1919,28/04/2000,gwryw,Castell Nedd,
Blackheath F.C.,lock,Wales,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Clwb Pêl-droed Blackheath,clo,Cymru,Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
London Welsh RFC,lock,Wales,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Clwb Rygbi Cymry Llundain,clo,Cymru,Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
Cardiff RFC,lock,Wales,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Clwb Rygbi Caerdydd ,clo,Cymru,Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
Wales national rugby union team,lock,Wales,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Tîm undeb rygbi cenedlaethol Cymru,clo,Cymru,Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
Barbarians,lock,Wales,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Barbariaid,clo,Cymru,Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
Blackheath F.C.,lock,United Kingdom,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Clwb Pêl-droed Blackheath,clo,Y Deyrnas Unedig,Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
London Welsh RFC,lock,United Kingdom,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Clwb Rygbi Cymry Llundain,clo,Y Deyrnas Unedig,Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
Cardiff RFC,lock,United Kingdom,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Clwb Rygbi Caerdydd ,clo,Y Deyrnas Unedig,Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
Wales national rugby union team,lock,United Kingdom,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Tîm undeb rygbi cenedlaethol Cymru,clo,Y Deyrnas Unedig,Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
Barbarians,lock,United Kingdom,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Barbariaid,clo,Y Deyrnas Unedig,Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
Blackheath F.C.,lock,United Kingdom of Great Britain and Ireland,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Clwb Pêl-droed Blackheath,clo,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
London Welsh RFC,lock,United Kingdom of Great Britain and Ireland,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Clwb Rygbi Cymry Llundain,clo,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
Cardiff RFC,lock,United Kingdom of Great Britain and Ireland,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Clwb Rygbi Caerdydd ,clo,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
Wales national rugby union team,lock,United Kingdom of Great Britain and Ireland,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Tîm undeb rygbi cenedlaethol Cymru,clo,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
Barbarians,lock,United Kingdom of Great Britain and Ireland,Douglas,,1893-07-01,05/01/1955,male,Swansea,London,,,Barbariaid,clo,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Douglas,,1893-07-01,05/01/1955,gwryw,Abertawe,Llundain
Wales national under-18 rugby union team,,Wales,Ed,Shervington,11/03/1985,,male,Newport,,,,Tîm rygbi undeb dan-18 cenedlaethol Cymru,,Cymru,Ed,Shervington,11/03/1985,,gwryw,Casnewydd,
Worcester Warriors,,Wales,Ed,Shervington,11/03/1985,,male,Newport,,,,Worcester Warriors,,Cymru,Ed,Shervington,11/03/1985,,gwryw,Casnewydd,
Gloucester Rugby,,Wales,Ed,Shervington,11/03/1985,,male,Newport,,,,Rygbi Caerloyw,,Cymru,Ed,Shervington,11/03/1985,,gwryw,Casnewydd,
Ospreys,,Wales,Shaun,Connor,20/11/1975,,male,Panteg,,,,y Gweilch,,Cymru,Shaun,Connor,20/11/1975,,gwryw,Panteg,
Dragons,,Wales,Shaun,Connor,20/11/1975,,male,Panteg,,,,Y Dreigiau,,Cymru,Shaun,Connor,20/11/1975,,gwryw,Panteg,
Wales national rugby league team,scrum-half,Wales,Sidney,,1891-01-01,01/01/1959,male,Swansea,Swansea,,,Tîm rygbi cynghrair cenedlaethol Cymru,mewnwr,Cymru,Sidney,,1891-01-01,01/01/1959,gwryw,Abertawe,Abertawe
Wigan Warriors,scrum-half,Wales,Sidney,,1891-01-01,01/01/1959,male,Swansea,Swansea,,,Wigan Warriors,mewnwr,Cymru,Sidney,,1891-01-01,01/01/1959,gwryw,Abertawe,Abertawe
Swansea RFC,scrum-half,Wales,Sidney,,1891-01-01,01/01/1959,male,Swansea,Swansea,,,Clwb Rygbi Abertawe ,mewnwr,Cymru,Sidney,,1891-01-01,01/01/1959,gwryw,Abertawe,Abertawe
Scarlets,,Wales,Simon,Gardiner,02/10/1990,,male,Haverfordwest,,,,Y Sgarlets,,Cymru,Simon,Gardiner,02/10/1990,,gwryw,Hwlffordd,
Pontypool RFC,prop,Wales,,Jones,04/01/1959,,male,Ynysybwl,,,,Clwb Rygbi Pontyp?l,prop,Cymru,,Jones,04/01/1959,,gwryw,Ynysybwl,
Wales national rugby union team,prop,Wales,,Jones,04/01/1959,,male,Ynysybwl,,,,Tîm undeb rygbi cenedlaethol Cymru,prop,Cymru,,Jones,04/01/1959,,gwryw,Ynysybwl,
Barbarians,prop,Wales,,Jones,04/01/1959,,male,Ynysybwl,,,,Barbariaid,prop,Cymru,,Jones,04/01/1959,,gwryw,Ynysybwl,
British & Irish Lions,prop,Wales,,Jones,04/01/1959,,male,Ynysybwl,,,,Llewod Prydain ac Iwerddon,prop,Cymru,,Jones,04/01/1959,,gwryw,Ynysybwl,
Pontypridd RFC,prop,Wales,,Jones,04/01/1959,,male,Ynysybwl,,,,Clwb Rygbi Pontypridd ,prop,Cymru,,Jones,04/01/1959,,gwryw,Ynysybwl,
Pontypool RFC,prop,United Kingdom,,Jones,04/01/1959,,male,Ynysybwl,,,,Clwb Rygbi Pontyp?l,prop,Y Deyrnas Unedig,,Jones,04/01/1959,,gwryw,Ynysybwl,
Wales national rugby union team,prop,United Kingdom,,Jones,04/01/1959,,male,Ynysybwl,,,,Tîm undeb rygbi cenedlaethol Cymru,prop,Y Deyrnas Unedig,,Jones,04/01/1959,,gwryw,Ynysybwl,
Barbarians,prop,United Kingdom,,Jones,04/01/1959,,male,Ynysybwl,,,,Barbariaid,prop,Y Deyrnas Unedig,,Jones,04/01/1959,,gwryw,Ynysybwl,
British & Irish Lions,prop,United Kingdom,,Jones,04/01/1959,,male,Ynysybwl,,,,Llewod Prydain ac Iwerddon,prop,Y Deyrnas Unedig,,Jones,04/01/1959,,gwryw,Ynysybwl,
Pontypridd RFC,prop,United Kingdom,,Jones,04/01/1959,,male,Ynysybwl,,,,Clwb Rygbi Pontypridd ,prop,Y Deyrnas Unedig,,Jones,04/01/1959,,gwryw,Ynysybwl,
Great Britain national rugby league team,,Wales,Joe,Owen,07/03/1929,12/09/2019,male,Pontypridd,Wigan,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,,Cymru,Joe,Owen,07/03/1929,12/09/2019,gwryw,Pontypridd,Wigan
Wales national rugby league team,,Wales,Joe,Owen,07/03/1929,12/09/2019,male,Pontypridd,Wigan,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,Joe,Owen,07/03/1929,12/09/2019,gwryw,Pontypridd,Wigan
Leigh Centurions,,Wales,Joe,Owen,07/03/1929,12/09/2019,male,Pontypridd,Wigan,,,Leigh Centurions,,Cymru,Joe,Owen,07/03/1929,12/09/2019,gwryw,Pontypridd,Wigan
St Helens RLFC,,Wales,Joe,Owen,07/03/1929,12/09/2019,male,Pontypridd,Wigan,,,St Helens RLFC,,Cymru,Joe,Owen,07/03/1929,12/09/2019,gwryw,Pontypridd,Wigan
Pontypridd RFC,,Wales,Joe,Owen,07/03/1929,12/09/2019,male,Pontypridd,Wigan,,,Clwb Rygbi Pontypridd ,,Cymru,Joe,Owen,07/03/1929,12/09/2019,gwryw,Pontypridd,Wigan
Great Britain national rugby league team,,United Kingdom,Joe,Owen,07/03/1929,12/09/2019,male,Pontypridd,Wigan,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,,Y Deyrnas Unedig,Joe,Owen,07/03/1929,12/09/2019,gwryw,Pontypridd,Wigan
Wales national rugby league team,,United Kingdom,Joe,Owen,07/03/1929,12/09/2019,male,Pontypridd,Wigan,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Y Deyrnas Unedig,Joe,Owen,07/03/1929,12/09/2019,gwryw,Pontypridd,Wigan
Leigh Centurions,,United Kingdom,Joe,Owen,07/03/1929,12/09/2019,male,Pontypridd,Wigan,,,Leigh Centurions,,Y Deyrnas Unedig,Joe,Owen,07/03/1929,12/09/2019,gwryw,Pontypridd,Wigan
St Helens RLFC,,United Kingdom,Joe,Owen,07/03/1929,12/09/2019,male,Pontypridd,Wigan,,,St Helens RLFC,,Y Deyrnas Unedig,Joe,Owen,07/03/1929,12/09/2019,gwryw,Pontypridd,Wigan
Pontypridd RFC,,United Kingdom,Joe,Owen,07/03/1929,12/09/2019,male,Pontypridd,Wigan,,,Clwb Rygbi Pontypridd ,,Y Deyrnas Unedig,Joe,Owen,07/03/1929,12/09/2019,gwryw,Pontypridd,Wigan
Great Britain national rugby league team,,Wales,Joe,Owen,07/03/1932,12/09/2019,male,Pontypridd,Wigan,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,,Cymru,Joe,Owen,07/03/1932,12/09/2019,gwryw,Pontypridd,Wigan
Wales national rugby league team,,Wales,Joe,Owen,07/03/1932,12/09/2019,male,Pontypridd,Wigan,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,Joe,Owen,07/03/1932,12/09/2019,gwryw,Pontypridd,Wigan
Leigh Centurions,,Wales,Joe,Owen,07/03/1932,12/09/2019,male,Pontypridd,Wigan,,,Leigh Centurions,,Cymru,Joe,Owen,07/03/1932,12/09/2019,gwryw,Pontypridd,Wigan
St Helens RLFC,,Wales,Joe,Owen,07/03/1932,12/09/2019,male,Pontypridd,Wigan,,,St Helens RLFC,,Cymru,Joe,Owen,07/03/1932,12/09/2019,gwryw,Pontypridd,Wigan
Pontypridd RFC,,Wales,Joe,Owen,07/03/1932,12/09/2019,male,Pontypridd,Wigan,,,Clwb Rygbi Pontypridd ,,Cymru,Joe,Owen,07/03/1932,12/09/2019,gwryw,Pontypridd,Wigan
Great Britain national rugby league team,,United Kingdom,Joe,Owen,07/03/1932,12/09/2019,male,Pontypridd,Wigan,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,,Y Deyrnas Unedig,Joe,Owen,07/03/1932,12/09/2019,gwryw,Pontypridd,Wigan
Wales national rugby league team,,United Kingdom,Joe,Owen,07/03/1932,12/09/2019,male,Pontypridd,Wigan,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Y Deyrnas Unedig,Joe,Owen,07/03/1932,12/09/2019,gwryw,Pontypridd,Wigan
Leigh Centurions,,United Kingdom,Joe,Owen,07/03/1932,12/09/2019,male,Pontypridd,Wigan,,,Leigh Centurions,,Y Deyrnas Unedig,Joe,Owen,07/03/1932,12/09/2019,gwryw,Pontypridd,Wigan
St Helens RLFC,,United Kingdom,Joe,Owen,07/03/1932,12/09/2019,male,Pontypridd,Wigan,,,St Helens RLFC,,Y Deyrnas Unedig,Joe,Owen,07/03/1932,12/09/2019,gwryw,Pontypridd,Wigan
Pontypridd RFC,,United Kingdom,Joe,Owen,07/03/1932,12/09/2019,male,Pontypridd,Wigan,,,Clwb Rygbi Pontypridd ,,Y Deyrnas Unedig,Joe,Owen,07/03/1932,12/09/2019,gwryw,Pontypridd,Wigan
Wales national rugby league team,centre,Wales,Stanley,,01/01/1909,,male,Newport,,,,Tîm rygbi cynghrair cenedlaethol Cymru,Canolwr,Cymru,Stanley,,01/01/1909,,gwryw,Casnewydd,
Huddersfield Giants,centre,Wales,Stanley,,01/01/1909,,male,Newport,,,,Huddersfield Giants,Canolwr,Cymru,Stanley,,01/01/1909,,gwryw,Casnewydd,
Broughton Rangers,,Wales,Stanley,Powell,19/07/1916,03/01/1995,male,Risca,Southport,,,Broughton Rangers,,Cymru,Stanley,Powell,19/07/1916,03/01/1995,gwryw,Rhisga,Southport
Wales national rugby league team,,Wales,Stanley,Powell,19/07/1916,03/01/1995,male,Risca,Southport,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,Stanley,Powell,19/07/1916,03/01/1995,gwryw,Rhisga,Southport
Warrington Wolves,,Wales,Stanley,Powell,19/07/1916,03/01/1995,male,Risca,Southport,,,Warrington Wolves,,Cymru,Stanley,Powell,19/07/1916,03/01/1995,gwryw,Rhisga,Southport
St Helens RLFC,,Wales,Stanley,Powell,19/07/1916,03/01/1995,male,Risca,Southport,,,St Helens RLFC,,Cymru,Stanley,Powell,19/07/1916,03/01/1995,gwryw,Rhisga,Southport
Cross Keys RFC,prop,Wales,Stanley,,1889-05-05,25/06/1940,male,Bedwellty,Caerleon,,,Clwb Rygbi Cross Keys ,prop,Cymru,Stanley,,1889-05-05,25/06/1940,gwryw,Bedwellte,Caerllion
Wales national rugby union team,prop,Wales,Stanley,,1889-05-05,25/06/1940,male,Bedwellty,Caerleon,,,Tîm undeb rygbi cenedlaethol Cymru,prop,Cymru,Stanley,,1889-05-05,25/06/1940,gwryw,Bedwellte,Caerllion
Cross Keys RFC,prop,United Kingdom,Stanley,,1889-05-05,25/06/1940,male,Bedwellty,Caerleon,,,Clwb Rygbi Cross Keys ,prop,Y Deyrnas Unedig,Stanley,,1889-05-05,25/06/1940,gwryw,Bedwellte,Caerllion
Wales national rugby union team,prop,United Kingdom,Stanley,,1889-05-05,25/06/1940,male,Bedwellty,Caerleon,,,Tîm undeb rygbi cenedlaethol Cymru,prop,Y Deyrnas Unedig,Stanley,,1889-05-05,25/06/1940,gwryw,Bedwellte,Caerllion
Cross Keys RFC,prop,United Kingdom of Great Britain and Ireland,Stanley,,1889-05-05,25/06/1940,male,Bedwellty,Caerleon,,,Clwb Rygbi Cross Keys ,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Stanley,,1889-05-05,25/06/1940,gwryw,Bedwellte,Caerllion
Wales national rugby union team,prop,United Kingdom of Great Britain and Ireland,Stanley,,1889-05-05,25/06/1940,male,Bedwellty,Caerleon,,,Tîm undeb rygbi cenedlaethol Cymru,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Stanley,,1889-05-05,25/06/1940,gwryw,Bedwellte,Caerllion
Cross Keys RFC,fly-half,Wales,Steffan,Jones,22/11/1990,,male,Caerphilly,,,,Clwb Rygbi Cross Keys ,maswr,Cymru,Steffan,Jones,22/11/1990,,gwryw,Caerffili,
Dragons,fly-half,Wales,Steffan,Jones,22/11/1990,,male,Caerphilly,,,,Y Dreigiau,maswr,Cymru,Steffan,Jones,22/11/1990,,gwryw,Caerffili,
Gloucester Rugby,,Wales,,Reynolds,23/10/1993,,male,Newport,,,,Rygbi Caerloyw,,Cymru,,Reynolds,23/10/1993,,gwryw,Casnewydd,
Wales national rugby league team,centre,Wales,Steve,,07/07/1960,,male,Ystradgynlais,,,,Tîm rygbi cynghrair cenedlaethol Cymru,Canolwr,Cymru,Steve,,07/07/1960,,gwryw,Ystradgynlais,
St Helens RLFC,centre,Wales,Steve,,07/07/1960,,male,Ystradgynlais,,,,St Helens RLFC,Canolwr,Cymru,Steve,,07/07/1960,,gwryw,Ystradgynlais,
London Broncos,centre,Wales,Steve,,07/07/1960,,male,Ystradgynlais,,,,London Broncos,Canolwr,Cymru,Steve,,07/07/1960,,gwryw,Ystradgynlais,
Ospreys,flanker,Wales,Steve,Tandy,16/01/1980,,male,Tonmawr,,,,y Gweilch,blaenasgellwr,Cymru,Steve,Tandy,16/01/1980,,gwryw,Tonmawr,
Wales national under-20 rugby union team,,Wales,Steven,,20/06/1991,,male,Swansea,,,,Tîm rygbi undeb cenedlaethol dan-20 Cymru,,Cymru,Steven,,20/06/1991,,gwryw,Abertawe,
Llanelli RFC,,Wales,Steven,,20/06/1991,,male,Swansea,,,,Clwb Rygbi Llanelli,,Cymru,Steven,,20/06/1991,,gwryw,Abertawe,
London Irish RFC,,Wales,Steven,,20/06/1991,,male,Swansea,,,,Clwb Rygbi Gwyddelod Llundain ,,Cymru,Steven,,20/06/1991,,gwryw,Abertawe,
Scarlets,,Wales,Steven,,20/06/1991,,male,Swansea,,,,Y Sgarlets,,Cymru,Steven,,20/06/1991,,gwryw,Abertawe,
Wales national rugby union team (sevens),winger,Wales,Darren,Daniel,13/09/1986,,male,Burry Port,,,,Tîm rygbi undeb cenedlaethol Cymru (saith bob ochr),asgellwr,Cymru,Darren,Daniel,13/09/1986,,gwryw,Porth Tywyn,
London Irish RFC,winger,Wales,Darren,Daniel,13/09/1986,,male,Burry Port,,,,Clwb Rygbi Gwyddelod Llundain ,asgellwr,Cymru,Darren,Daniel,13/09/1986,,gwryw,Porth Tywyn,
Cornish Pirates,winger,Wales,Darren,Daniel,13/09/1986,,male,Burry Port,,,,Cornish Pirates,asgellwr,Cymru,Darren,Daniel,13/09/1986,,gwryw,Porth Tywyn,
Scarlets,winger,Wales,Darren,Daniel,13/09/1986,,male,Burry Port,,,,Y Sgarlets,asgellwr,Cymru,Darren,Daniel,13/09/1986,,gwryw,Porth Tywyn,
Leeds Carnegie RFC,,Wales,Darren,Edwards,25/03/1974,,male,Maesteg,,,,Clwb Rygbi Leeds Carnegie ,,Cymru,Darren,Edwards,25/03/1974,,gwryw,Maesteg,
London Irish RFC,,Wales,Darren,Edwards,25/03/1974,,male,Maesteg,,,,Clwb Rygbi Gwyddelod Llundain ,,Cymru,Darren,Edwards,25/03/1974,,gwryw,Maesteg,
Saracens F.C.,,Wales,Darren,Edwards,25/03/1974,,male,Maesteg,,,,Clwb Pêl-droed Saracens ,,Cymru,Darren,Edwards,25/03/1974,,gwryw,Maesteg,
London Welsh RFC,,Wales,Darren,Waters,14/08/1985,,male,Beddau,,,,Clwb Rygbi Cymry Llundain,,Cymru,Darren,Waters,14/08/1985,,gwryw,Beddau,
Pontypridd RFC,,Wales,Darren,Waters,14/08/1985,,male,Beddau,,,,Clwb Rygbi Pontypridd ,,Cymru,Darren,Waters,14/08/1985,,gwryw,Beddau,
Dragons,,Wales,Darren,Waters,14/08/1985,,male,Beddau,,,,Y Dreigiau,,Cymru,Darren,Waters,14/08/1985,,gwryw,Beddau,
Treorchy RFC,,Wales,David,Bishop,22/09/1983,,male,Church Village,,,,Clwb Rygbi Treorci,,Cymru,David,Bishop,22/09/1983,,gwryw,Pentre'r Eglwys,
The Jersey Reds R.F.C.,,Wales,David,Bishop,22/09/1983,,male,Church Village,,,,Clwb Rygbi The Jersey Reds ,,Cymru,David,Bishop,22/09/1983,,gwryw,Pentre'r Eglwys,
Ospreys,,Wales,David,Bishop,22/09/1983,,male,Church Village,,,,y Gweilch,,Cymru,David,Bishop,22/09/1983,,gwryw,Pentre'r Eglwys,
Sale Sharks,,Wales,David,Bishop,22/09/1983,,male,Church Village,,,,Sale Sharks,,Cymru,David,Bishop,22/09/1983,,gwryw,Pentre'r Eglwys,
Edinburgh Rugby,,Wales,David,Bishop,22/09/1983,,male,Church Village,,,,Rygbi Caeredin,,Cymru,David,Bishop,22/09/1983,,gwryw,Pentre'r Eglwys,
Birmingham Moseley Rugby Club,,Wales,David,Bishop,22/09/1983,,male,Church Village,,,,Clwb Rygbi Birmingham Moseley ,,Cymru,David,Bishop,22/09/1983,,gwryw,Pentre'r Eglwys,
Dragons,,Wales,David,Bishop,22/09/1983,,male,Church Village,,,,Y Dreigiau,,Cymru,David,Bishop,22/09/1983,,gwryw,Pentre'r Eglwys,
Llanelli RFC,,Wales,David,Daniel,1871-01-01,30/04/1948,male,Llanelli,Llanelli,,,Clwb Rygbi Llanelli,,Cymru,David,Daniel,1871-01-01,30/04/1948,gwryw,Llanelli,Llanelli
Wales national rugby union team,,Wales,David,Daniel,1871-01-01,30/04/1948,male,Llanelli,Llanelli,,,Tîm undeb rygbi cenedlaethol Cymru,,Cymru,David,Daniel,1871-01-01,30/04/1948,gwryw,Llanelli,Llanelli
Llanelli RFC,,United Kingdom,David,Daniel,1871-01-01,30/04/1948,male,Llanelli,Llanelli,,,Clwb Rygbi Llanelli,,Y Deyrnas Unedig,David,Daniel,1871-01-01,30/04/1948,gwryw,Llanelli,Llanelli
Wales national rugby union team,,United Kingdom,David,Daniel,1871-01-01,30/04/1948,male,Llanelli,Llanelli,,,Tîm undeb rygbi cenedlaethol Cymru,,Y Deyrnas Unedig,David,Daniel,1871-01-01,30/04/1948,gwryw,Llanelli,Llanelli
Llanelli RFC,,United Kingdom of Great Britain and Ireland,David,Daniel,1871-01-01,30/04/1948,male,Llanelli,Llanelli,,,Clwb Rygbi Llanelli,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Daniel,1871-01-01,30/04/1948,gwryw,Llanelli,Llanelli
