Team ,Position on team,Country of Citizenship,Given Name,Family Name ,Date of Birth,Date of Death,Sex,Place of birth,Place of death
Pontypool RFC,prop,Wales,,Jones,1959-01-04,,male,Ynysybwl,
Wales national rugby union team,prop,Wales,,Jones,1959-01-04,,male,Ynysybwl,
Barbarians,prop,Wales,,Jones,1959-01-04,,male,Ynysybwl,
British & Irish Lions,prop,Wales,,Jones,1959-01-04,,male,Ynysybwl,
Pontypridd RFC,prop,Wales,,Jones,1959-01-04,,male,Ynysybwl,
Pontypool RFC,prop,United Kingdom,,Jones,1959-01-04,,male,Ynysybwl,
Wales national rugby union team,prop,United Kingdom,,Jones,1959-01-04,,male,Ynysybwl,
Barbarians,prop,United Kingdom,,Jones,1959-01-04,,male,Ynysybwl,
British & Irish Lions,prop,United Kingdom,,Jones,1959-01-04,,male,Ynysybwl,
Pontypridd RFC,prop,United Kingdom,,Jones,1959-01-04,,male,Ynysybwl,
Great Britain national rugby league team,,Wales,Joe,Owen,1929-03-07,2019-09-12,male,Pontypridd,Wigan
Wales national rugby league team,,Wales,Joe,Owen,1929-03-07,2019-09-12,male,Pontypridd,Wigan
Leigh Centurions,,Wales,Joe,Owen,1929-03-07,2019-09-12,male,Pontypridd,Wigan
St Helens RLFC,,Wales,Joe,Owen,1929-03-07,2019-09-12,male,Pontypridd,Wigan
Pontypridd RFC,,Wales,Joe,Owen,1929-03-07,2019-09-12,male,Pontypridd,Wigan
Great Britain national rugby league team,,United Kingdom,Joe,Owen,1929-03-07,2019-09-12,male,Pontypridd,Wigan
Wales national rugby league team,,United Kingdom,Joe,Owen,1929-03-07,2019-09-12,male,Pontypridd,Wigan
Leigh Centurions,,United Kingdom,Joe,Owen,1929-03-07,2019-09-12,male,Pontypridd,Wigan
St Helens RLFC,,United Kingdom,Joe,Owen,1929-03-07,2019-09-12,male,Pontypridd,Wigan
Pontypridd RFC,,United Kingdom,Joe,Owen,1929-03-07,2019-09-12,male,Pontypridd,Wigan
Great Britain national rugby league team,,Wales,Joe,Owen,1932-03-07,2019-09-12,male,Pontypridd,Wigan
Wales national rugby league team,,Wales,Joe,Owen,1932-03-07,2019-09-12,male,Pontypridd,Wigan
Leigh Centurions,,Wales,Joe,Owen,1932-03-07,2019-09-12,male,Pontypridd,Wigan
St Helens RLFC,,Wales,Joe,Owen,1932-03-07,2019-09-12,male,Pontypridd,Wigan
Pontypridd RFC,,Wales,Joe,Owen,1932-03-07,2019-09-12,male,Pontypridd,Wigan
Great Britain national rugby league team,,United Kingdom,Joe,Owen,1932-03-07,2019-09-12,male,Pontypridd,Wigan
Wales national rugby league team,,United Kingdom,Joe,Owen,1932-03-07,2019-09-12,male,Pontypridd,Wigan
Leigh Centurions,,United Kingdom,Joe,Owen,1932-03-07,2019-09-12,male,Pontypridd,Wigan
St Helens RLFC,,United Kingdom,Joe,Owen,1932-03-07,2019-09-12,male,Pontypridd,Wigan
Pontypridd RFC,,United Kingdom,Joe,Owen,1932-03-07,2019-09-12,male,Pontypridd,Wigan
Wales national rugby league team,centre,Wales,Stanley,,1909-01-01,,male,Newport,
Huddersfield Giants,centre,Wales,Stanley,,1909-01-01,,male,Newport,
Broughton Rangers,,Wales,Stanley,Powell,1916-07-19,1995-01-03,male,Risca,Southport
Wales national rugby league team,,Wales,Stanley,Powell,1916-07-19,1995-01-03,male,Risca,Southport
Warrington Wolves,,Wales,Stanley,Powell,1916-07-19,1995-01-03,male,Risca,Southport
St Helens RLFC,,Wales,Stanley,Powell,1916-07-19,1995-01-03,male,Risca,Southport
Cross Keys RFC,prop,Wales,Stanley,,1889-05-05,1940-06-25,male,Bedwellty,Caerleon
Wales national rugby union team,prop,Wales,Stanley,,1889-05-05,1940-06-25,male,Bedwellty,Caerleon
Cross Keys RFC,prop,United Kingdom,Stanley,,1889-05-05,1940-06-25,male,Bedwellty,Caerleon
Wales national rugby union team,prop,United Kingdom,Stanley,,1889-05-05,1940-06-25,male,Bedwellty,Caerleon
Cross Keys RFC,prop,United Kingdom of Great Britain and Ireland,Stanley,,1889-05-05,1940-06-25,male,Bedwellty,Caerleon
Wales national rugby union team,prop,United Kingdom of Great Britain and Ireland,Stanley,,1889-05-05,1940-06-25,male,Bedwellty,Caerleon
Cross Keys RFC,fly-half,Wales,Steffan,Jones,1990-11-22,,male,Caerphilly,
Dragons,fly-half,Wales,Steffan,Jones,1990-11-22,,male,Caerphilly,
Gloucester Rugby,,Wales,,Reynolds,1993-10-23,,male,Newport,
Wales national rugby league team,centre,Wales,Steve,,1960-07-07,,male,Ystradgynlais,
St Helens RLFC,centre,Wales,Steve,,1960-07-07,,male,Ystradgynlais,
London Broncos,centre,Wales,Steve,,1960-07-07,,male,Ystradgynlais,
Ospreys,flanker,Wales,Steve,Tandy,1980-01-16,,male,Tonmawr,
Wales national under-20 rugby union team,,Wales,Steven,,1991-06-20,,male,Swansea,
Llanelli RFC,,Wales,Steven,,1991-06-20,,male,Swansea,
London Irish RFC,,Wales,Steven,,1991-06-20,,male,Swansea,
Scarlets,,Wales,Steven,,1991-06-20,,male,Swansea,
Wales national rugby union team (sevens),winger,Wales,Darren,Daniel,1986-09-13,,male,Burry Port,
London Irish RFC,winger,Wales,Darren,Daniel,1986-09-13,,male,Burry Port,
Cornish Pirates,winger,Wales,Darren,Daniel,1986-09-13,,male,Burry Port,
Scarlets,winger,Wales,Darren,Daniel,1986-09-13,,male,Burry Port,
Leeds Carnegie RFC,,Wales,Darren,Edwards,1974-03-25,,male,Maesteg,
London Irish RFC,,Wales,Darren,Edwards,1974-03-25,,male,Maesteg,
Saracens F.C.,,Wales,Darren,Edwards,1974-03-25,,male,Maesteg,
London Welsh RFC,,Wales,Darren,Waters,1985-08-14,,male,Beddau,
Pontypridd RFC,,Wales,Darren,Waters,1985-08-14,,male,Beddau,
Dragons,,Wales,Darren,Waters,1985-08-14,,male,Beddau,
Treorchy RFC,,Wales,David,Bishop,1983-09-22,,male,Church Village,
The Jersey Reds R.F.C.,,Wales,David,Bishop,1983-09-22,,male,Church Village,
Ospreys,,Wales,David,Bishop,1983-09-22,,male,Church Village,
Sale Sharks,,Wales,David,Bishop,1983-09-22,,male,Church Village,
Edinburgh Rugby,,Wales,David,Bishop,1983-09-22,,male,Church Village,
Birmingham Moseley Rugby Club,,Wales,David,Bishop,1983-09-22,,male,Church Village,
Dragons,,Wales,David,Bishop,1983-09-22,,male,Church Village,
Llanelli RFC,,Wales,David,Daniel,1871-01-01,1948-04-30,male,Llanelli,Llanelli
Wales national rugby union team,,Wales,David,Daniel,1871-01-01,1948-04-30,male,Llanelli,Llanelli
Llanelli RFC,,United Kingdom,David,Daniel,1871-01-01,1948-04-30,male,Llanelli,Llanelli
Wales national rugby union team,,United Kingdom,David,Daniel,1871-01-01,1948-04-30,male,Llanelli,Llanelli
Llanelli RFC,,United Kingdom of Great Britain and Ireland,David,Daniel,1871-01-01,1948-04-30,male,Llanelli,Llanelli
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,David,Daniel,1871-01-01,1948-04-30,male,Llanelli,Llanelli
Neath RFC,,Wales,David,Evans,1988-08-19,,male,Swansea,
Neath RFC,,United Kingdom,David,Evans,1988-08-19,,male,Swansea,
Glamorgan Police RFC,,Wales,David,Davies,1877-10-27,1944-09-30,male,Tonna,
Neath RFC,,Wales,David,Davies,1877-10-27,1944-09-30,male,Tonna,
Wales national rugby union team,,Wales,David,Davies,1877-10-27,1944-09-30,male,Tonna,
Glamorgan Police RFC,,United Kingdom,David,Davies,1877-10-27,1944-09-30,male,Tonna,
Neath RFC,,United Kingdom,David,Davies,1877-10-27,1944-09-30,male,Tonna,
Wales national rugby union team,,United Kingdom,David,Davies,1877-10-27,1944-09-30,male,Tonna,
Glamorgan Police RFC,,United Kingdom of Great Britain and Ireland,David,Davies,1877-10-27,1944-09-30,male,Tonna,
Neath RFC,,United Kingdom of Great Britain and Ireland,David,Davies,1877-10-27,1944-09-30,male,Tonna,
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,David,Davies,1877-10-27,1944-09-30,male,Tonna,
Broughton Rangers,,Wales,David,James,1866-01-01,1929-01-01,male,Swansea,Bon-y-maen
Swansea RFC,,Wales,David,James,1866-01-01,1929-01-01,male,Swansea,Bon-y-maen
Wales national rugby union team,,Wales,David,James,1866-01-01,1929-01-01,male,Swansea,Bon-y-maen
Broughton Rangers,,United Kingdom,David,James,1866-01-01,1929-01-01,male,Swansea,Bon-y-maen
Swansea RFC,,United Kingdom,David,James,1866-01-01,1929-01-01,male,Swansea,Bon-y-maen
Wales national rugby union team,,United Kingdom,David,James,1866-01-01,1929-01-01,male,Swansea,Bon-y-maen
Broughton Rangers,,United Kingdom of Great Britain and Ireland,David,James,1866-01-01,1929-01-01,male,Swansea,Bon-y-maen
Swansea RFC,,United Kingdom of Great Britain and Ireland,David,James,1866-01-01,1929-01-01,male,Swansea,Bon-y-maen
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,David,James,1866-01-01,1929-01-01,male,Swansea,Bon-y-maen
Treorchy RFC,hooker,Wales,David,James,1906-10-07,1981-01-01,male,Treorchy,Rhondda
Leeds Rhinos,hooker,Wales,David,James,1906-10-07,1981-01-01,male,Treorchy,Rhondda
Wales national rugby union team,hooker,Wales,David,James,1906-10-07,1981-01-01,male,Treorchy,Rhondda
Great Britain national rugby league team,,Wales,David,Jenkins,1914-02-23,1979-01-01,male,Wales,
Wales national rugby league team,,Wales,David,Jenkins,1914-02-23,1979-01-01,male,Wales,
Leeds Rhinos,,Wales,David,Jenkins,1914-02-23,1979-01-01,male,Wales,
Cardiff RFC,,Wales,David,Jenkins,1914-02-23,1979-01-01,male,Wales,
Great Britain national rugby league team,,United Kingdom,David,Jenkins,1914-02-23,1979-01-01,male,Wales,
Wales national rugby league team,,United Kingdom,David,Jenkins,1914-02-23,1979-01-01,male,Wales,
Leeds Rhinos,,United Kingdom,David,Jenkins,1914-02-23,1979-01-01,male,Wales,
Cardiff RFC,,United Kingdom,David,Jenkins,1914-02-23,1979-01-01,male,Wales,
Great Britain national rugby league team,,United Kingdom of Great Britain and Ireland,David,Jenkins,1914-02-23,1979-01-01,male,Wales,
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,David,Jenkins,1914-02-23,1979-01-01,male,Wales,
Leeds Rhinos,,United Kingdom of Great Britain and Ireland,David,Jenkins,1914-02-23,1979-01-01,male,Wales,
Cardiff RFC,,United Kingdom of Great Britain and Ireland,David,Jenkins,1914-02-23,1979-01-01,male,Wales,
Great Britain national rugby league team,prop,Wales,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Neath RFC,prop,Wales,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Leeds Rhinos,prop,Wales,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Swansea RFC,prop,Wales,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Wales national rugby union team,prop,Wales,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Great Britain national rugby league team,prop,United Kingdom,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Neath RFC,prop,United Kingdom,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Leeds Rhinos,prop,United Kingdom,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Swansea RFC,prop,United Kingdom,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Wales national rugby union team,prop,United Kingdom,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Great Britain national rugby league team,prop,United Kingdom of Great Britain and Ireland,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Neath RFC,prop,United Kingdom of Great Britain and Ireland,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Leeds Rhinos,prop,United Kingdom of Great Britain and Ireland,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Swansea RFC,prop,United Kingdom of Great Britain and Ireland,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Wales national rugby union team,prop,United Kingdom of Great Britain and Ireland,David,Jenkins,1904-04-12,1951-08-13,male,Resolven,Whitley Bay
Loughborough Students RUFC,flanker,Wales,David,,1934-03-01,2003-11-12,male,Crumlin,
Wales national rugby union team,flanker,Wales,David,,1934-03-01,2003-11-12,male,Crumlin,
Loughborough Students RUFC,flanker,United Kingdom,David,,1934-03-01,2003-11-12,male,Crumlin,
Wales national rugby union team,flanker,United Kingdom,David,,1934-03-01,2003-11-12,male,Crumlin,
Glynneath RFC,,Wales,David,,1911-04-21,1941-05-24,male,Glynneath,Denmark Strait
Wales national rugby league team,,Wales,David,,1911-04-21,1941-05-24,male,Glynneath,Denmark Strait
Huddersfield Giants,,Wales,David,,1911-04-21,1941-05-24,male,Glynneath,Denmark Strait
Neath RFC,,Wales,David,,1911-04-21,1941-05-24,male,Glynneath,Denmark Strait
Glynneath RFC,,United Kingdom,David,,1911-04-21,1941-05-24,male,Glynneath,Denmark Strait
Wales national rugby league team,,United Kingdom,David,,1911-04-21,1941-05-24,male,Glynneath,Denmark Strait
Huddersfield Giants,,United Kingdom,David,,1911-04-21,1941-05-24,male,Glynneath,Denmark Strait
Neath RFC,,United Kingdom,David,,1911-04-21,1941-05-24,male,Glynneath,Denmark Strait
Glynneath RFC,,United Kingdom of Great Britain and Ireland,David,,1911-04-21,1941-05-24,male,Glynneath,Denmark Strait
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,David,,1911-04-21,1941-05-24,male,Glynneath,Denmark Strait
Huddersfield Giants,,United Kingdom of Great Britain and Ireland,David,,1911-04-21,1941-05-24,male,Glynneath,Denmark Strait
Neath RFC,,United Kingdom of Great Britain and Ireland,David,,1911-04-21,1941-05-24,male,Glynneath,Denmark Strait
Treorchy RFC,lock,Wales,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Glamorgan Police RFC,lock,Wales,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Wales national rugby league team,lock,Wales,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Hunslet Hawks,lock,Wales,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Leeds Rhinos,lock,Wales,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Wales national rugby union team,lock,Wales,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Treorchy RFC,lock,United Kingdom,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Glamorgan Police RFC,lock,United Kingdom,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Wales national rugby league team,lock,United Kingdom,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Hunslet Hawks,lock,United Kingdom,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Leeds Rhinos,lock,United Kingdom,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Wales national rugby union team,lock,Wales,Stuart,Gallacher,1946-05-22,2014-10-19,male,Llanelli,
Barbarians,lock,Wales,Stuart,Gallacher,1946-05-22,2014-10-19,male,Llanelli,
Wales national rugby league team,lock,United Kingdom,Stuart,Gallacher,1946-05-22,2014-10-19,male,Llanelli,
Keighley Cougars,lock,United Kingdom,Stuart,Gallacher,1946-05-22,2014-10-19,male,Llanelli,
Bradford Bulls,lock,United Kingdom,Stuart,Gallacher,1946-05-22,2014-10-19,male,Llanelli,
Llanelli RFC,lock,United Kingdom,Stuart,Gallacher,1946-05-22,2014-10-19,male,Llanelli,
Wales national rugby union team,lock,United Kingdom,Stuart,Gallacher,1946-05-22,2014-10-19,male,Llanelli,
Barbarians,lock,United Kingdom,Stuart,Gallacher,1946-05-22,2014-10-19,male,Llanelli,
Salford Red Devils,winger,Wales,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Wales national rugby league team,winger,Wales,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Wales national rugby union team,winger,Wales,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Barbarians,winger,Wales,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Aberavon RFC,winger,Wales,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Salford Red Devils,winger,United Kingdom,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Wales national rugby league team,winger,United Kingdom,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Wales national rugby union team,winger,United Kingdom,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Barbarians,winger,United Kingdom,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Aberavon RFC,winger,United Kingdom,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Salford Red Devils,winger,United Kingdom of Great Britain and Ireland,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Wales national rugby league team,winger,United Kingdom of Great Britain and Ireland,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Wales national rugby union team,winger,United Kingdom of Great Britain and Ireland,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Barbarians,winger,United Kingdom of Great Britain and Ireland,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Aberavon RFC,winger,United Kingdom of Great Britain and Ireland,Sydney,Williams,1918-04-17,1976-08-28,male,Aberavon,Neath
Wales national rugby union team (sevens),fullback,Wales,,,1980-04-20,,male,Pembroke Dock,
Birmingham & Solihull R.F.C.,fullback,Wales,,,1980-04-20,,male,Pembroke Dock,
Ospreys,fullback,Wales,,,1980-04-20,,male,Pembroke Dock,
Wales national rugby union team,fullback,Wales,,,1980-04-20,,male,Pembroke Dock,
Barbarians,fullback,Wales,,,1980-04-20,,male,Pembroke Dock,
Scarlets,fullback,Wales,,,1980-04-20,,male,Pembroke Dock,
Dragons,fullback,Wales,,,1980-04-20,,male,Pembroke Dock,
Wales national rugby union team (sevens),fullback,United Kingdom,,,1980-04-20,,male,Pembroke Dock,
Birmingham & Solihull R.F.C.,fullback,United Kingdom,,,1980-04-20,,male,Pembroke Dock,
Ospreys,fullback,United Kingdom,,,1980-04-20,,male,Pembroke Dock,
Wales national rugby union team,fullback,United Kingdom,,,1980-04-20,,male,Pembroke Dock,
Barbarians,fullback,United Kingdom,,,1980-04-20,,male,Pembroke Dock,
Scarlets,fullback,United Kingdom,,,1980-04-20,,male,Pembroke Dock,
Dragons,fullback,United Kingdom,,,1980-04-20,,male,Pembroke Dock,
Oldham Roughyeds,,Wales,Ted,Ward,1953-01-01,,male,Wales,
Great Britain national rugby league team,,Wales,Ted,Ward,1953-01-01,,male,Wales,
Wales national rugby league team,,Wales,Ted,Ward,1953-01-01,,male,Wales,
Llanelli RFC,,Wales,Ted,Ward,1953-01-01,,male,Wales,
Wigan Warriors,,Wales,Ted,Ward,1953-01-01,,male,Wales,
Oldham Roughyeds,,United Kingdom,Ted,Ward,1953-01-01,,male,Wales,
Great Britain national rugby league team,,United Kingdom,Ted,Ward,1953-01-01,,male,Wales,
Wales national rugby league team,,United Kingdom,Ted,Ward,1953-01-01,,male,Wales,
Llanelli RFC,,United Kingdom,Ted,Ward,1953-01-01,,male,Wales,
Wigan Warriors,,United Kingdom,Ted,Ward,1953-01-01,,male,Wales,
Wales national rugby league team,winger,Wales,Terence,Cook,1927-06-24,2016-01-18,male,Bedwas,
Halifax RLFC,winger,Wales,Terence,Cook,1927-06-24,2016-01-18,male,Bedwas,
Cardiff RFC,winger,Wales,Terence,Cook,1927-06-24,2016-01-18,male,Bedwas,
Wales national rugby union team,winger,Wales,Terence,Cook,1927-06-24,2016-01-18,male,Bedwas,
Wales national rugby league team,winger,United Kingdom,Terence,Cook,1927-06-24,2016-01-18,male,Bedwas,
Halifax RLFC,winger,United Kingdom,Terence,Cook,1927-06-24,2016-01-18,male,Bedwas,
Cardiff RFC,winger,United Kingdom,Terence,Cook,1927-06-24,2016-01-18,male,Bedwas,
Wales national rugby union team,winger,United Kingdom,Terence,Cook,1927-06-24,2016-01-18,male,Bedwas,
Bramley Buffaloes,,Wales,Terrence,Robbins,1937-01-01,2015-11-17,male,Merthyr Tydfil,Bacup
Wales national rugby league team,,Wales,Terrence,Robbins,1937-01-01,2015-11-17,male,Merthyr Tydfil,Bacup
Swansea RFC,,Wales,Terrence,Robbins,1937-01-01,2015-11-17,male,Merthyr Tydfil,Bacup
Bramley Buffaloes,,United Kingdom,Terrence,Robbins,1937-01-01,2015-11-17,male,Merthyr Tydfil,Bacup
Wales national rugby league team,,United Kingdom,Terrence,Robbins,1937-01-01,2015-11-17,male,Merthyr Tydfil,Bacup
Swansea RFC,,United Kingdom,Terrence,Robbins,1937-01-01,2015-11-17,male,Merthyr Tydfil,Bacup
Pill Harriers RFC,prop,Wales,Thomas,Jones,1895-12-13,1933-08-20,male,Pontnewydd,Newport
Wales national rugby union team,prop,Wales,Thomas,Jones,1895-12-13,1933-08-20,male,Pontnewydd,Newport
Pill Harriers RFC,prop,United Kingdom,Thomas,Jones,1895-12-13,1933-08-20,male,Pontnewydd,Newport
Wales national rugby union team,prop,United Kingdom,Thomas,Jones,1895-12-13,1933-08-20,male,Pontnewydd,Newport
Pill Harriers RFC,prop,United Kingdom of Great Britain and Ireland,Thomas,Jones,1895-12-13,1933-08-20,male,Pontnewydd,Newport
Wales national rugby union team,prop,United Kingdom of Great Britain and Ireland,Thomas,Jones,1895-12-13,1933-08-20,male,Pontnewydd,Newport
Wales national rugby league team,,Wales,Thomas,Woods,1890-01-30,,male,Wales,
Wigan Warriors,,Wales,Thomas,Woods,1890-01-30,,male,Wales,
Esher RFC,,Wales,Tom,Cheeseman,1986-03-22,,male,Swansea,
Harlequin F.C.,,Wales,Tom,Cheeseman,1986-03-22,,male,Swansea,
Bath Rugby,,Wales,Tom,Cheeseman,1986-03-22,,male,Swansea,
Dragons,,Wales,Tom,Cheeseman,1986-03-22,,male,Swansea,
Hull F.C.,centre,Wales,Tom,Collins,1895-08-14,1957-04-08,male,Merthyr Tydfil,Mountain Ash
Wales national rugby union team,centre,Wales,Tom,Collins,1895-08-14,1957-04-08,male,Merthyr Tydfil,Mountain Ash
Hull F.C.,centre,United Kingdom,Tom,Collins,1895-08-14,1957-04-08,male,Merthyr Tydfil,Mountain Ash
Wales national rugby union team,centre,United Kingdom,Tom,Collins,1895-08-14,1957-04-08,male,Merthyr Tydfil,Mountain Ash
Hull F.C.,centre,United Kingdom of Great Britain and Ireland,Tom,Collins,1895-08-14,1957-04-08,male,Merthyr Tydfil,Mountain Ash
Wales national rugby union team,centre,United Kingdom of Great Britain and Ireland,Tom,Collins,1895-08-14,1957-04-08,male,Merthyr Tydfil,Mountain Ash
Ospreys,,Wales,Tom,,1991-06-20,,male,Bridgend,
Wales national under-20 rugby union team,,Wales,Tom,,1992-05-19,,male,Bridgend,
Ospreys,,Wales,Tom,,1992-05-19,,male,Bridgend,
