FUM-nr,X,Antal_dele,Emne_ord,Placering,Dansk_navn,Latinsk_navn,Antal_fossiler,Fund_oplysninger,Notater,Lokalitet,Finder,Fossilets_dimensioner,e,Beskaffenhed,Bevaringstilstand,Foto,Bilag,Beskrevet_af,Udlånsstatus,Opbevares,Box_nr.,Status,Kontaktoplysninger
1689,,,mineraler-ikait,,,,,,,,,,,,,,,,,m-stue+mineralsakb,,×,
1690,,,struktur-moler/skåret og poleret,,,,,,,,,,,,,,,,,m,,×,
1691,,,struktur-moler/skåret og poleret,,,,,,,,,,,,,,,,,m-stue,,×,
1692,,,struktur-moler/skåret og poleret,,,,,,,,,,,,,,,,,63,,×,
1693,,,struktur-moler/skåret og poleret,,,,,,,,,,,,,,,,,62A,,×,
1694,,,inv-søstjerner/ 2 arme,,,,,,,,,,,,,,,,,60,,×,
1695,,,konkretion-kalkbolle/ m snegl,,,,,,,,,,,,,,,Gl nr. 4 A,,m,,×,
1696,,,konkretion-kalkbolle/udfældet omkring gren,,,,,,,,,,,,,,,,,m,,×,
1697,,,ins-ins-myg,,,,,,,,,,,,,,,,,m,,×,
1698,,,bot-kvist/øverste del mgl.,,,,,,,,,,,,,,,,,m,,×,
1699,,,struktur-gips i fossilt træ,,,,,,,,,,,,,,,,,m,,×,
1700,,,inv-slangestjerne/med 5 arme,,,,,,,,,,,,,,,,,m,,×,
1701,,,inv-snegle+muslinger,,,,,,,,,,,,,,,,,m,,×,
1702,,,mineraler-selenit/krystal m- mange arme,,,,,,,,,,,,,,,,,m,,×,
1703,,,Insekt,,Ørentvist,Dermaptera,,,,,,,,,,,,,,m,,×,
1704,,,inv-musling/intakt åben ydre skal,,,,,,,,,,,,,,,,,22,,×,
1705,,,inv-musling/en skal,,,,,,,,,,,,,,,Gl nr. 28,,22,,×,
1706,,,inv-snegle/ i forsk. Størrelser,,,,,,,,,,,,,,,Gl nr. 27,,21,,×,
1707,,,inv-snegle/ 8-10 stk,,,,,,,,,,,,,,,gl. nr. 24,,21,,×,
1708,,,mineraler/vulkansk/ aske fra ÷ 33.,,,,,,,,,,,,,,,,,50A,,×,
1709,,,mineraler-vulkansk/ aske/ fra ÷ 19,,,,,,,,,,,,,,,,,51A,,×,
1710,,,mineraler-vulkansk/aske/ fra ÷ 19,,,,,,,,,,,,,,,,,30A,,×,
1711,,,mineraler-vulkansk aske/ fra + 19,,,,,,,,,,,,,,,,,52A,,×,
1712,,,mineraler-vulkansk aske/ fra + 22,,,,,,,,,,,,,,,,,52A,,×,
1713,,,mineraler-vulkansk aske/ fra + 62,,,,,,,,,,,,,,,,,52A,,×,
1714,,,mineraler-vulkansk aske/ fra MT. St Helena,,,,,,,,,,,,,,,,,66,,×,
1715,,,ins-svampeins-myg/hel,,,,,,,,,,,,,,,,,m ,,×,
1716,,,fisk-ubest/fragm af stor fisk,,,,,,,,,,,,,,,,,m-stue,,×,
1717,,,bot-træ/m. vekslende indfarvning,,,,,,,,,,,,,,,,,m,,×,
1718,,,fugl-ubest/knogle??,,,,,,,,,,,,,,,,,m,,×,
1719,,,struktur-rustudfældning/moler,,,,,,,,,,,,,,,,,m-stue,,×,
1720,,,mineraler-stenkerne/ med kalcedon,,,,,,,,,,,,,,,,,m,,×,
1721,,,bot-blad/løv uden top,,,,,,,,,,,,,,,,,30,,×,
1722,,,inv-slangestjerne/ 2 fossiler,,,,,,,,,,,,,,,,,60,,×,
1723,,,ins-damtæge/hel,,,,,,,,,,,,,,,,,A:45A + B:36,7,×,
1724,,,bot-blad/macchintohia kaneii,,,,,,,,,,,,,,,,,m,,×,
1725,,,struktur-askelag/med vandundvigelsesstruktur,,,,,,,,,,,,,,,,,m,,×,
1726,,,svamp-glassvamp/ i flint,,,,,,,,,,,,,,,,,m,,×,
1727,,,mineraler-moler/med lag af jarosit,,,,,,,,,,,,,,,,,58B,,×,
1728,,,inv-snegle/mange+slangestjerne,,,,,,,,,,,,,,,,,m,,×,
1729,,,mineraler-ikait/med mange arme,,,,,,,,,,,,,,,,,57,,×,
1730,,Søren Kristensens samling - opført i separat database,,,,,,,,,,,,,,,,Sørens samling,,m-stue,,×,
1731,,,bot-træ/gaffelgren,,,,,,,,,,,,,,,,,m,,×,
1732,,,fisk-makrel/med hoved+tydelig øje,,,,,,,,,,,,,,,,,m-stue,,×,
1733,,,"konkretion/ m ""diamanter""",,,,,,,,,,,,,,,,,m-stue,,×,
1734,,,ins-cikade/fragm,,,,,,,,,,,,,,,,,m,,×,
1735,,,fisk-knogletunge/fragm af bugen,,,,,,,,,,,,,,,Bonde,,m-stue,,×,
1736,,,bot-stængel/ m sideskud,,,,,,,,,,,,,,,,,m,,×,
1737,,,ins-bille/forkrop,,,,,,,,,,,,,,,,,m,,×,
1738,,,bot-træ/ligner trækul,,,,,,,,,,,,,,,,,m,,×,
1739,,,struktur-dendriter/ i cementsten,,,,,,,,,,,,,,,,,m,,×,
1740,,,struktur-istidsskuringer/cementsten,,,,,,,,,,,,,,,,,m,,×,
1741,,,fisk-ulklign/ligger i sandkasse,,,,,,,,,,,,,,,,,11,,×,
1742,,,fisk-holosteus/fisk m maveindhold,,,,,,,,,,,,,,,Bonde,,m-stue + 9,,×,
1743,,,struktur-lignit/ i skifer,,,,,,,,,,,,,,,,,m,,×,
1744,,,ins-bille/med tydelig vinge,,,,,,,,,,,,,,,,,m,,×,
1745,,,bot/nød + smukt aftryk,,,,,,,,,,,,,,,,,m,,×,
1746,,,bot-træ/sammenhængende+mindre løsdele,,,,,,,,,,,,,,,,,m,,×,
1747,,,bot-træ/fragm af mangrove,,,,,,,,,,,,,,,Belgisk professor. Bo har adr.,,m,,×,
1748,,,inv-vingesnegle/mange,,,,,,,,,,,,,,,,,m,,×,
1749,,,bot-nødder/ aftryk af 3 stk,,,,,,,,,,,,,,,,,m,,×,
1750,,,"struktur-""vandundvigelse""/i cementsten",,,,,,,,,,,,,,,,,62B,,×,
1751,,,struktur-sporfossiler/i askelag,,,,,,,,,,,,,,,,,m-stue,,×,
1752,,,fisk-makrel/gællefibreller,,,,,,,,,,,,,1,,,,m,1,×,
1753,,,struktur-gravegange/i moler,,,,,,,,,,,,,,,,,m-stue,,×,
1754,,,bot-blad/løv med lameller,,,,,,,,,,,,,,,,,m-stue,,×,
1755,,,strutur-gravegange/askelag,,,,,,,,,,,,,,,,,m-stue,,×,
1756,,,bot-træ/med vedkanal,,,,,,,,,,,,,,,,,m,,×,
1757,,,fisk-argentina/fiskestime,,,,,,,,,,,,,,,,,m-stue,,×,
1758,,,fisk-nålefisk/ flot helt eks.,,,,,,,,,,,,,,,,,"B - m, A i m16",,×,
1759,,,fisk-smørfisk/næsten hel unge,,,,,,,,,,,,,,,,,m,,×,
1760,,,fisk-Paleocentrotus/fragm af krop,,,,,,,,,,,,,,,,, 2 B,,×,
1761,,,bot-nød/aftryk,,,,,,,,,,,,,,,,,m,,×,
1762,,,struktur-jernudfældning/aske i moler,,,,,,,,,,,,,,,,,m,,×,
1763,,,konkretion med plantedele,,,,,,,,,,,,,,,,,m,,×,
1764,,,konkretion med plantedele,,,,,,,,,,,,,,,,,m,,×,
1765,,,inv.sandmusling/ en hel+6 små dele,,,,,,,,,,,,,,,,,m,,×,
1766,,,"struktur-""kunststykke""/ i moler",,,,,,,,,,,,,,,,,m,,×,
1767,,,inv-hornreje/fragm ÷hoved,Crustacea (krebsdyr),,,,,,,,,,,,,,,,m,,×,
1768,,,struktur-dendriter/ i moler,,,,,,,,,,,,,,,,,m,,×,
1769,,,inv-snegl/hel,,,,,,,,,,,,,,,,,m,,×,
1770,,,inv-søpindsvin/pig/flot,,,,,,,,,,,,,,,,,m,,×,
1771,,,bot-træ/løvblad,,,,,,,,,,,,,,,,,m,,×,
1772,,,ins-flue/hoved + del af vinger,,,,,,,,,,,,,,,,,m,,×,
1773,,,bot-øverste del af topskud,,,,,,,,,,,,,,,,,m,,×,
1774,,,fisk-hajtand/tryk + modtryk,,,,,,,,,,,,,,,D. Ward 2008  Hvor er modplade ????,,m,,×,
1775,,,fisk-argentina/fin m. 2 synlige øjne,,,,,,,,,,,,,,,,,m,,×,
1776,,,ins-kæmpemyre/fin m. hoved+krop,,,,,,,,,,,,,,,,,m,,×,
1777,,,ins-damtæge/hel,,,,,,,,,,,,,,,,,m,,×,
1778,,,fisk-smelt/forreste halvdel,,,,,,,,,,,,,,,,,m,,×,
1779,,,bot-træ/løvblad/fragm.,,,,,,,,,,,,,,,,,m,,×,
1780,,,fisk-tand makrel / Ardiodus sp. fint aftryk,,,,,,,,,,,,,,,N. Bonde 08,,m,,×,
1781,,,struktur-gravegang/foret,,,,,,,,,,,,,,,,,m,,×,
1782,,,inv.-rodsnegl(Natica)/fragm af skal.,,,,,,,,,,,,,,,,,m,,×,
1783,,,ins-natsværmer/m krop+vinger,,,,,,,,,,,,,,,,,42A,,×,
1784,,,fisk-nålefisk/hoved+øje af lille fisk,,,,,,,,,,,,,,,,,m,,×,
1785,,,fisk-strømsild/flot forparti m. hoved og øje,,,,,,,,,,,,,,,,,m,,×,
1786,,,fisk-strømsild/sammenrullet bevaring,,,,,,,,,,,,,,,,,m,,×,
1787,,,fisk- juvenil makrelfisk/hel med stort hoved.,,,,,,,,,,,,,,,Bonde,,m,,×,
1788,,,ins-pragtvandnymfe/vinge,,,,,,,,,,,,,,,,,m,,×,
1789,,,fisk-smelt??/halen ligger ovenpå hvoedet,,,,,,,,,,,,,,,Bonde,,m,,×,
1790,,,inv-blåmusling/fragm m. perlemor + snegl,,,,,,,,,,,,,,,,,21,,×,
1791,,,fisk-argentina/kranium,,,,,,,,,,,,,,,Bonde,,m,,×,
1792,,,bot-træ/gren+fragm. af træ.,,,,,,,,,,,,,,,,,m-stue,,×,
1793,,,fisk-kranium??,,,,,,,,,,,,,,,Bonde,,m-stue,,×,
1794,,,fisk-ubek./hel fisk+ fragm+ ins.,,,,,,,,,,,,,,,Bonde,,m-stue,,×,
1795,,,bot/kogle el blad??,,,,,,,,,,,,,,,Skal bestemmes.,,m,,×,
1796,,,bot-træ/m. calcedon og bjergkrystal,,,,,,,,,,,,,,,,,m,,×,
1797,,,inv-krebsdyr(Stheriid)/skal,,,,,,,,,,,,,,,Bonde,,m,,×,
1798,,,bot-bambusskud,,,,,,,,,,,,,,,,,m,,×,
1799,,,inv. Slangestjerne/m. alle arme,,,,,,,,,,,,,,,,,m,,×,
1800,,,struktur-moler/rustudfældning,,,,,,,,,,,,,,,,,m,,×,
1801,,,mineraler-forstenet moler/m. lille sten/træ/skæl,,,,,,,,,,,,,,,,,m,,×,
1802,,,struktur-moler m. askelag,,,,,,,,,,,,,,,,,m,,×,
1803,,,inv-slangestjerne/m alle arme,,,,,,,,,,,,,,,,,m,,×,
1804,,,mineraler-konkretion/gipskrystaller,,,,,,,,,,,,,,,,,m,,×,
1805,,,fisk-nålefisk/fragm,,,,,,,,,,,,,,,,,m,,×,
1806,,,fisk-smelt/langstrakt blød finnefisk,,,,,,,,,,,,,,,Bonde - har været indl. Til dk bedømmelse.,,m,,×,
1807,,,fugle-ubek./næsten intakt lille fjer,,,,,,,,,,,,,,,,,m,,×,
1808,,,koprolit-stor,,,,,,,,,,,,,,,,,m,,×,
1809,,,fugle-ubek/bækken+korsben,,,,,,,,,,,,,,,Bonde,,25 A,,×,
1810,,,fisk-ubest./fragm,,,,,,,,,,,,,,,Bonde,,m,,×,
1811,,,fisk-smeltunge/fin uden gatfinne,,,,,,,,,,,,,,,Bonde,,m,,×,
1812,,,bot-frugt??/aftryk af stor nød/frugt,,,,,,,,,,,,,,,,,m,,×,
1813,,,fugl-halehvirvler,,,,,,,,,,,,,,,Bonde,,m,,×,
1814,,,struktur-brec. Moler/rustudfældning,,,,,,,,,,,,,,,,,m,,×,
1815,,,struktur-askelag/udfældning af aske,,,,,,,,,,,,,,,,,m,,×,
1816,,,fisk-hajtand/+planterester,,,,,,,,,,,,,,,,,18,,×,
1817,,,struktur-cementsten/load cast/tryk,,,,,,,,,,,,,,,,,m-stue,,×,
1818,,,bot-træ/stamme m pæleorm+mus.skaller,,,,,,,,,,,,,,,Bonde,,m-stue,,×,
1819,,,fisk-hajtand/tandrod fragmenteret,,,,,,,,,,,,,,,,,m-stue,,×,
1820,,,fisk-ubek/sammenkrøllet,,,,,,,,,,,,,,,Gl. nr 423,,m,,×,
1821,,,fisk-knogletunge/bla. store skæl,,,,,,,,,,,,,,,Bonde,,m,,×,
1822,,,"bot-træ/delvis i ""svøb""",,,,,,,,,,,,,,,,,m,,×,
1823,,,bot-gren/ligger forskudt i 2 dele,,,,,,,,,,,,,,,,,m-stue,,×,
1824,,,bot-arocariakvist,,,,,,,,,,,,,,,,,m,,×,
1825,,,struktur-moler/udfældning af rust,,,,,,,,,,,,,,,,,m-stue,,×,
1826,,,struktur-sporfossiler,,,,,,,,,,,,,,,,,m,,×,
1827,,,struktur-sporfossiler/gravegange,,,,,,,,,,,,,,,,,m,,×,
1828,,,bot-nødder-frugt/fine aftryk,,,,,,,,,,,,,,,,,m,,×,
1829,,,struktur-sporfossil,,,,,,,,,,,,,,,,,m,,×,
1830,,,svamp-glassvamp/ i flint,,,,,,,,,,,,,,,,,m,,×,
1831,,,fisk-ulklign,,,,,,,,,,,,,,,Bonde 07,,m,,×,
1832,,,inv-snegl el Tabia/næsten intakt,,,,,,,,,,,,,,,,,m,,×,
1833,,,struktur-sten m. boremuslingehuller,,,,,,,,,,,,,,,,,m-stue,,×,
1834,,,inv-koral/i 3 dele,,,,,,,,,,,,,,,,,m,,×,
1835,,,struktur-moler/m skridstruktur,,,,,,,,,,,,,,,,,m-stue,,×,
1836,,,struktur-moler/ m skridstruktur,,,,,,,,,,,,,,,,,m-stue,,×,
1837,,,struktur-lyst moler/m skridstruktur,,,,,,,,,,,,,,,,,m-stue,,×,
1838,,,inv.-blåmusling/skal næsten intakt,,,,,,,,,,,,,,,,,m,,×,
1839,,,bot-træ/pind m. forgrening,,,,,,,,,,,,,,,,,m,,×,
1840,,,bot-ubek./plantedel,,,,,,,,,,,,,,,,,m,,×,
1841,,,fisk-rødfisk/mindst kendte eks.,,,,,,,,,,,,,,,Bonde,,m,,×,
1842,,,konkretion/m fragm. af smuk snegl(Cassidaria),,,,,,,,,,,,,,,,,m,,×,
1843,,,struktur-moler/i aske,,,,,,,,,,,,,,,,,m,,×,
1844,,,fisk-ubek./underkæbefragm.,,,,,,,,,,,,,,,Bonde - fossilet skal undersøges nærmere,,m,,×,
1845,,,fisk-guldlaks??/inkomplet hoved,,,,,,,,,,,,,,,Bonde,,m,,×,
1846,,,fisk-sildefisk/hjernekasse,,,,,,,,,,,,,,,Bonde,,m,,×,
1847,,,"fisk-smelt/uden haleregion, sandkasse",,,,,,,,,,,,,,,Bonde,,m-jalousiskab,,×,
1848,,,fisk-knogletunge/finnestråler+stort skæl,,,,,,,,,,,,,,,3 stk. i montren. 1 stk. har fået nr.,,4,,×,
1849,,,fisk-havaborre (percoid)/uden halefinne,,,,,,,,,,,,,,,Bonde,,m,,×,
1850,,,struktur-cementsten/udvaskning,,,,,,,,,,,,,,,,,m,,×,
1851,,,bot-træ/i cementsten,,,,,,,,,,,,,,,,,m-stue,,×,
1852,,,bot-træ/i cementsten,,,,,,,,,,,,,,,,,m-stue,,×,
1853,,,mineraler-pimpsten/i moler,,,,,,,,,,,,,,,,,m-stue,,×,
1854,,,fisk-ubest/kropsfragm,,,,,,,,,,,,,,,Bonde,,m,,×,
1855,,,fisk-argentina/intakt fisk,,,,,,,,,,,,,,,,,m,,×,
1856,,,fisk-makrel/forreste del af krop,,,,,,,,,,,,,,,Bonde  Har Poul Søby en del ????????,,m-stue,,×,
1857,,,ins-vandnymfe/ret intakt,,,,,,,,,,,,,,,,,42A,,×,
1858,,,mineraler/ikait i 5 dele,,,,,,,,,,,,,,,,,m-stue,,×,
1859,,,mineraler/ikait i 3 dele,,,,,,,,,,,,,,,,,mineralskab,,×,
1860,,,struktur-sporfossil/fragm af rør,,,,,,,,,,,,,,,,,22,,×,
1861,,,fisk-havaborre/ligger i sandkasse,,,,,,,,,,,,,,,,,m-stue + 12,,×,
1862,,,fisk-holesteus/,,,,,,,,,,,,,,,,,9,,×,
1863,,,mineral/cementsten m/pimpsten,,,,,,,,,,,,,,,,,m,,×,
1864,,,struktur/cementsten m/rustudfældning,,,,,,,,,,,,,,,,,m-stue,,×,
1865,,,mineral/calcit-udfældning ,,,,,,,,,,,,,,,,,m,,×,
1866,,,ins-svirreflue/for- og bagkrop,,,,,,,,,,,,,,,,,m,,×,
1867,,,fisk-havaborre,,,,,,,,,,,,,,,,,12,,×,
1868,,,konkretion/hajhvirvel,,,,,,,,,,,,,,,Bo Schultz + N. Bonde,Måske til D-kræ !!!!!,44,,×,
1869,,- modplade,,,Gravegang,Taenididium ichnosp,Mange,Gravegangene ses på 2 forskellige måder på for- og bagsiden af stykket.,,Stranden ved Junget,René Sylvestersen,,,Spor i askelag,God,1,,,,m,,×,
1870,,+ modplade,Invertebrat,Crustacea (krebsdyr),Reje ,Penaeus sp.,1,,"Ret gode antenner, øjne, ben og telson/uropoder. ??meget svag rostrum. [++ ny art] N.B. 2007",Strand vest for Stolle Klint,René Sylvestersen,30mm*6mm,,Stolleklintler,God,1,,N. Bonde,,m + 19,,×,
1871,,+ modplade,Invertebrat,Crustacea (krebsdyr),Reje ,Morscrangon acutus,1,,"Crangonoid med fine klosakse, antenner, lemmer og halevifte.",Graven n. for Stendal høje,"Finn Lund, Skivevej 2, 7870 Selde. År 2008",41mm*16mm,,Aftryk i blød moler,Rigtig god,1,,René Sylvestersen,,19,,×,
1872,,+ modplade,Invertebrat,,Havbørsteorm. Beboelsesrør,,5,,,centralgraven ved Stendal Høje,"Anneke Scholten, de hoef 57, 6708 DD Wageningen, Holland",50mm*9mm,,Stribet moler,God,1,,,,22,,×,
1873,,- modplade,Fisk,,Fiskeskæl,,1,Fundet i leret og ikke skifferen ved Stolle Klint.,,Stolleklintler v. for Stolle Klint,René Sylvestersen,16mm*12mm,,Stolleklintler,middel,1,,,,m,5,×,
1874,,- modplade,Invertebrat,Gastropoder (snegle),Konksnegl,,1,,Ulamineret moler med stenkerne af konk snegl. Har levet på bunden så forholdene har ikke helt anoxisk.,Graven n. for Stendal høje,"Lars Thor Larsen, Søgade 11, 8000 Århus C. år 2008",18mm*11mm*4mm,,Stenkerne,OK,1,,,,m,,×,
1875,,- modplade,Fisk,,Hajtand,,mange,"Indeholder udover hajtanden, stor plantestykke, pimpsten og flere fiskeknogler.",Ulamineret moler fra den negative serie.,Graven n. for Stendal høje,"Kim Dahl, Håndværkervænget 19, 7800 Hem, år 2007",11mm*5mm*-2mm,,,Middel,1,,D. Ward 2008,,m,,×,
1876,,+ modplade,Fisk,,Ulkefisk,Scorpaeniformes,1,,"Meget tydeligt forgællelåg med stor pig. Gællelåg med stor vandret pig (og måske ?? En mindre pig foroven) samt undergællelåg, der er fint takket langs bagkanten. Gællebuer ses på begge plader. Tydelig gane og kranietag med kraftig nakkekam. 3 små predorsaler, forreste krum. Hale fin: 3 epuralia, nok 2 uroneoralia 5 frie pypuralia. Hvirvler 13+14 [?12+16] alle ses. Forreste ganske kort og synes uden torntap. Ribben fra 3. hvirvel.",Molergraven n. for Stendal Høje,Claus Møller,95mm*20mm,,,God,1,,Niels Bonde 2008,,51A,,×,
1877,,- modplade,Fisk,,Ulke fisk,Perciform,,Præpereret af Poul Søby Nielsen,"Krops og haleregion, lidt af stråler i brystfinnen anse forrest.",Graven ved Stendalhøje,Claus Møller,120mm*50mm,150mm*120mm*14mm,Lamineret moler,god,1,1,Niels Bonde 2007,Bonde skal se på den !,11,,×,
1878,,+ modplade,Fugl,,fjer,,1,,,Mors,Kules,13mm*9mm,,Blød moler,god,1,,,,m  ,,×,
1879,,+ modplade,Fisk,,Smelt,,1,,Juvenil. Næsten komplet fisk i 2 dele.,Graven n. for Stendal høje,Victor Schultz,20mm*3mm,,,God,1,,,,m + 19,,×,
1880,,+ modplade,Fisk,,Torskefisk,,1,,"Juvenil. En af de mindste identificerede torskefisk. Lidt af snuden mangelfuld (var skjult på v. side fri præp. af N.B.) total længde ca. 24 mm., SL ca. 21 mm. Abdominal ca. 16. Caudal ca. 30-32. Kranium på 5 mm med gabet vidt åbent og underkæbe på små 2 mm, hænger ned ligesom ""tungen"". Måske anes tænder i underkæben. Overkæben synes ???  Stort øje ca 1,25 mm og postorbitale ca 3 mm. D: snuden kun ¾ mm lang. Skulderbælte og brystfinne tydelig. P måske ca 15 stk.  ???ses lille bækken under skulderbæltet. Halefinne klappet sammen med mange tynde stråler. Andre finner bærligt bevaret (manglende).",,"Asbjørn Hvejsel, Rantzausgade 32, 4th, 2200 KBH N., tlf: 22448096, år: 2007",24mm*5mm,,,Fin,1,,Niels Bonde 2007,,m,,×,
1881,,+ modplade,Insekt,,Stikmyg,Orthopodomyia paleocenica,1,,,Fur - Nordkysten,Claus Møller,6mm*8mm,,,God,1,,Henrik Madsen,,m,,×,
1882,,+ modplade,Fisk,,Rødfisk,,1,,"Lille rødfisk, fint bevaret. Rygfinne ca. XII pigge. Gatfinne med stærk pig (nr.? 2). Hvirvler ca 12 + ca 24. Typisk meget skrå støtte til gatfinnen, samt de 3 stærke pigge på forgællelåg og de 2 på gællelåget.",,Mette Sanggaard Schultz,22mm*6mm,,Blød moler,Fin,1,,N. Bonde 2007,,m,,×,
1883,,+ modplade,Fisk,,Hestemakrel,,1,,"Juvenil, sandsynligvis hestemakrel (eneste kendte)",Graven n. for Stendal høje,Claus Møller,14mm*3mm,,Blød moler,OK,1,1,N. Bonde 2007,,m,,×,
1884,,+ modplade,Fisk,,Guldlaks,,2,,"2 x guldlask med meget fine kranier der viser store dele af gælleskelettet og godt kranietag, samt diverse finner, bug- og halefinner er især gode.",Graven n. for Stendal høje,Claus Møller,70mm*15mm,,,lidt under middel,1,,Niels Bonde 2008,,m,,×,
1885,,+ modplade,Fisk,," ""Kulmule"", kæbe",,1,,"Venstre dentale, forest i underkæben af ""kulmule"" med to rækker kraftige tænder.(/Kun basis, de runde, ses af den ene, den indre række)",Graven n. for Stendal høje,René Sylvestersen,45mm*20mm,,,middel,1,,Niels Bonde 2008,,m,,×,
1886,,+ modplade,Botanik,,Blad (pil?),,1,,,Fur,"Tue Simonsen, Hjortbakken 2, Thorning, 8620 Kjellerup, år:2005",25mm*10mm,,,God,1,,,,m,,×,
1887,,+ modplade,Fisk,,Hajtand,Striatolamia striata,,,"Striatolamia striata, 1. upper anterior",Graven n. for Stendal høje,"Brian Nielsen, Hedemøllevænget, 4000 roskilde, tlf: 46322072, år 2008",25mm*11mm*-2mm,,negativ aftryk i moler,God,1,,David Ward,,18,,×,
1888,,- modplade,Botanik,,Plante/rodknold?,,1,,,Graven n. for Stendal høje,"Lennart Juel Rosenquist, Alrøvej 370, 8300 Odder, tlf: 86551510, år 2007",48mm*34mm*-8,,Ulamineret moler,God,1,,,,m,,×,
1889,,- modplade,Insekt,,Stankelben,Neuroptera,1,,,Nordkysten på Fur,"René Lauersen, Langåmark 9, 8870 Langå, år 2009",20mm*38mm,,Cementsten,Fin,1,,,,m,,×,
1890,,- modplade,Invertebrat + Fisk,,Havbørsteorm+guldlaks,,2,Fundet i ca. år 2000 i ældre molergrav(Morten Thise?),"Finder vil gerne høre nærmere, hvis børsteormen kommer til at indgå i en artikel el. lign.",Nedlagt råstofgrav - Morten Thise?,"Martin & Bente Frøkjær-Jensen, Langøvænget 65, 8381 Tilst, bentemartin@stofanet.dk",10mm*2mm,,Svagt lamineret moler,Middel,1,,,,m,,×,
1891,,+ modplade,Fisk,,Smelt ?,,1,,"Fin fisk/larve. Sandsynligvis ""smelt"". Hvirvler ca 26 + ca (>?) 20, bagerste svære at skelne. Bug perfekt. Hvirvlerne ganske korte og høje, minimal borbenet. Halen vipper måske lidt opad. Lav underkæbe.  *Nok den mindste smelt jeg har set, N. Bonde, 22.05.08",Graven n. for Stendal høje,"Rasmus Dalsgaard, Krogagre 39, 8240 Århus N. tlf: 86219997",10mm*2mm,,Lamineret moler,God,1,,Niels Bonde 2008,,m,,×,
1892,,+ modplade,Botanik,,Plante,,1,,Græslignende plante i svagt lamineret moler.,Graven n. for Stendal høje,Claus Møller,80mm*17mm,,,God,1,,,,m,,×,
1893,,- modplade,Fisk,,Sild,Neoclupavus ,,,"Hel fisk, -yderste af hale. Tidligere 464/74b.  Der er to genstande registreret under FUM-N-464/74. 2 fisk: 1 i moler + 1 i cementsten. 464/74a: fisk i moler. Kranium synligt (doesal tryk). 464/74b: fisk i cementsten. Hel fisk minus det yderste af halepartiet. (ventral tryk)  ",Ukendt,"M. Breiner, N. Breiner",30mm*10mm,,,,1,,N. Bonde (FMP120),,m,,×,
1894,,+ modplade,Invertebrat,,Krebsdyr,Estheriider,,,Muslingelignende krebsdyr. Estheriider(under gællefødder=Branchiopoda) Usædvanlig gruppe at finde i havmiljø. Tidligere registreret som 1 af 3 fossiler under FUM-N-721.,Ukendt,Magne Breiner,15mm*11mm,,,God,1,,N. Bonde 2009,,21,,×,
1895,,- modplade,Invertebrat,,Krebsdyr,Estheriider,,,Muslingelignende krebsdyr. Estheriider(under gællefødder=Branchiopoda) Usædvanlig gruppe at finde i havmiljø. Tidligere registreret som 1 af 3 fossiler under FUM-N-721.,Ukendt,Magne Breiner,11mm*9mm,,,God,1,,N. Bonde 2009,,m,,×,
1896,,+ modplade,Invertebrat,,Havbørsteorm,,30,,Rør af mange børsteorme. Der er blevet brugt to forskellige matrialer til væggene. 1) En lille klump med pellets nær spids af stort rør. Ses kun som aftryk i FUM-N-1896B. 2) Vægge af svampespikler og diatomeer.,Graven n. for Stendal høje,"Anette V. Jensen, Kokborgvej 13, Mundbjerg, 7830 Vinderup, tlf:60149772",,,Svag lamineret blød moler,God,1,,,,m+51A,,×,
1897,,+ modplade,Fisk,,Hajtand,Carcharias sp.,,,,Fur - Nordkysten,Claus Møller,14mm*10mm,,Stribet cementsten -24<>-28,God,1,,David Ward 2008,,m,,×,
1898,,- modplade,Fisk,,Makrel-knogle v/øjet ,Sclerotica-forbening,,,Den ene halvdel af sclerotica forbening omkring øjet på en stor makrelfisk.,Graven n. for Stendal høje,René Sylvestersen,25mm*13mm,,Blød moler,fin,1,,N. Bonde 2009,,m,,×,
1899,,+ modplade,Fisk,,Smelt,,,1899x1B og 1899x2B sidder på hver side af samme sten,"Juvenil. Meget lille unge af smelt. Standartlængde SL=16 mm, total 18 mm. Obs: Lav lang underkæbe og ret lang gatfinne og de meget korte hvirvler på dette stadium, samt lidt højere krop end ""guldlaks"".  Desuden kortere end de mindste forbenede ""guldlaks"", der er ca 2 cm. Ret fint bevaret af den størrelse at være.",Graven n. for Stendal høje,Bente Byskov,18mm*2mm,,Blød moler,Ret fin,1,,N. Bonde 2009,,m,,×,
1899,,+ modplade,Fisk,,,,,1899x1B og 1899x2B sidder på hver side af samme sten,Lille højkroppet fisk. Dårlligt bevaret - mangler finner og haleparti,Graven n. for Stendal høje,Bente Byskov,4mm*6mm,,Blød moler,under middel,1,,,,,,,
1900,,+modplade,Fisk,,Torskefisk,Gadiformes,,,Lille torskefisk med ca. 17+ 38 hvivler,Graven nord for Stendal Høje,Claus Møller,16mm*4mm,,Blød moler,Fin,1,,N. Bonde 2009,,41,,×,
1901,,-modplade,Botanik,,Araucaria,,,,Kvis fra araucaria,Graven nord for Stendal Høje,Claus Møller,26mm*1mm,,Lamineret blød moler,God,1,,,,29,,×,
1902,,+modplade,Fisk,,Knogletunge,Osteoglossiformes,,,Skæl fra knogletunge,Graven nord for Stendal Høje,Claus Møller,27mm*18mm, ,Blød moler,god,1,,,,m,,×,
