Vejnavn,Tællested,År,Hastigheds-begrænsning,Gennemsnits- hastighed
KIRKEHOLTVEJ,ø.f. Segaltvej,2018,80,73
KIRKEMOSEVEJ,n.f. Elishøj,2018,50,44
KLINTEVEJ ,nv.f. Nordre Strandvej,2014,50,34
KLOKKERVEJ,v.f. Klokkerbakken,2015,40,39
KLOKKERBAKKEN ,n.f. nr. 42 ,2013,50,47
KLOKKERFALDET ,Mellem nr. 61 og 62 ,2012,50,47
KLOKKERSKOVVEJ ,n.f. Råhøjvej,2016,50,51
KNUD RASMUSSENS VEJ,v.f. Mylius Erichsens Vej ,2017,50,24
KOLDKILDE,nø.f. Engelstoft,2009,80,60
KOLT KIRKEVEJ,n.f. Kolt Østervej ,2015,50,53
KOLT ØSTERVEJ ,v.f. Pilegårdsvej,2015,50,59
KOLT ØSTERVEJ ,v.f. Skovhøj ,2015,60,58 
KONGEVEJEN,n.f. Marselisborg Grønnevej,2018,50,60
KORSHØJEN,Ud for nr. 52,2010,50,29
KUNNERUPVEJ,sidevej ml. nr. 74 og 76,2009,50,32
KVÆDEVEJ,v. nr. 33,2008,50,44
KYSTVEJEN,n.f. Skt. Olufs Gade,2012,50,44
KÆRGÅRDSVEJ,nv.f. Parkvangen,2019,50,44
L.A. RINGS VEJ,s.f. Albert Naurs Vej,2017,50,35
LANDEVEJEN,sv.f. Tingskoven ,2012,80,88
LANDEVEJEN ,sv.f. Vestre Tingskovvej,2016,80,82
LANGBALLEVÆNGET,s.f. Langballevej ,2017,40,36
LANGBALLEVEJ ,v.f. Langballevænget,2017,40,43
LANGBALLEVEJ ,nø.f. Mårslet Byvej,2018,40,39
LANGBALLEVEJ,sv.f. Mårslet Byvej,2017,40,39
LANGDALSVEJ,s.f. Labyrinten ,2013,50,49
LANGDALSVEJ,n.f. Labyrinten ,2015,50,50
LANGELANDSGADE,ud for Kasernen,2018,50,52
LANGELANDSGADE,nv.f. Teglværksgade,2011,50,37
LANGENÆS ALLE,sv.f. Åbenrågade,2018,50,40
LEMMINGVEJ,n.f. Elmegårdsvej,2018,80,49
LILLE ELSTEDVEJ ,nv.f. Bystævnet ,2015,50,46
LILLERINGSVEJ,ø.f. Frøkjærvænget,2017,50,32
LUDVIG FEIBERGS VEJ,ø.f. Harald Kiddes Vej,2018,50,34
LUDVIG HOLBERGS VEJ ,sø.f. Silkeborgvej,2017,50,36
LYKKESHOLMS ALLÉ,v.f. Kildevangs Allé ,2014,50,43
LYSTRUPVEJ ,v.f. Lystrup Skole,2012,50,54
LYSTRUPVEJ ,n.f. Djurslandmotorvejen ,2018,50,42
LYSTRUPVEJ ,s.f. Viengevej,2013,60,54
LYSTRUPVEJ ,n.f. Spegelvej,2014,60,55
LYSTRUPVEJ,n.f. Grenåvej,2009,60,49
LØGTENVEJ,n.f Kirkeholtvej,2010,80,61
MALMØGADE,v.f. Ørebrogade ,2016,50,27
MARSELIS BOULEVARD,v.f. Sydhavnsgade,2018,50,52
MARSELIS BOULEVARD,ø.f. Stadion Allé,2013,60,54
MARSELIS BOULEVARD,v.f. Stadion Allé,2018,60,53
MARSELIS BOULEVARD,v.f. Kongsvang Allé,2018,60,56
MARSELIS BOULEVARD,s.f. F. Vestergaards Vej ,2016,50,34
MARSELIS BOULEVARD,v.f. Strandvejen (nordlig lokalvej) ,2014,50,45
MARSELIS BOULEVARD ,v.f. Strandvejen (sydlig lokalvej),2014,50,47
MARSELISBORG ALLÉ ,s.f. Heibergsgade ,2014,50,31 
MEJLBYVEJ ,n.f. Eghøjvej ,2017,50,40
MEJLBYVEJ,450m n.f. Bysmedetoften,2010,80,79
MEJLBYVEJ,s.f. Hjortshøj Stationsvej,2018,80,75
MEJLBYVEJ ,n.f. Salonikivej ,2012,50,54
MEJLBYVEJ ,s.f. Helbovej ,2015,50,54
MEJLBYVEJ,n.f. Delfivej ,2012,50,54
MILTONSVEJ,v.f. Schierupsvej,2010,50,33
MJØLNERSVEJ ,ø.f. Åbyvej,2014,50,45
MONRADSVEJ,v.f. Bernstorffsvej,2018,50,38
MORBÆRVEJ,nv.f. Carl Jensens Vej,2018,50,32
MØGELM0SEVEJ,ø.f. Vårkjærvej,2017,30,26
MØLLEVANGS ALLÉ,n.f. Helge Rodes Vej,2011,50,46
MØLLEVANGS ALLÉ,n.f. Vågøgade,2008,50,35
MYLIUS ERICHSENS VEJ,s.f. Lauge Kochs Vej,2017,50,27
MYLIUS ERICHSENS VEJ,n.f. Nordre Ringgade,2017,50,25
MÅRSLET BYVEJ ,n.f. Langballevej,2016,50,38
NEKSELØVEJ ,n.f. Langøvænget,2015,50,53
NIELS BOHRS VEJ,ud for,2008,50,26
NORDBORGGADE,nv.f. Langenæs Allé,2019,50,34
NORDLANDSVEJ,n.f. Toftefaldet,2013,50,57
NORDLANDSVEJ,sø.f. Rønbjergvej,2008,50,58
NORDLIGE BJERGEVEJ ,sv.f. Ringvej Syd ,2011,80,59
NORDRE RINGGADE,v.f. Dronning Margrethes Vej,2018,60,47
NORDRE RINGGADE,v.f. Randersvej,2018,60,55
NORDRE STRANDVEJ ,n.v. Birkevej ,2015,50,45
NORDRE STRANDVEJ ,nø.f. Merianvej,2018,50,42
NORDVESTPASSAGEN,v.f. Hvedevangen,2015,50,45
NORDVESTPASSAGEN,ø.f. Hans Egedes Vej,2016,50,42
NORSMINDEVEJ,ø.f. Lillenorvej ,2013,50,43
NY BANEGÅRDSGADE,sv.f. Rosenkrantzgade,2011,50,34
NY MOESGÅRDVEJ ,s.f. Teglbakken ,2015,50,49
NY MOESGÅRDVEJ ,n.f. Teglbakken,2019,50,43
NY MUNKEGADE,nv.f. Fynsgade,2012,50,37
NY STUDSTRUPVEJ ,ø.f. Løgten Østervej ,2012,50,59
NY STUDSTRUPVEJ ,sø.f. Lauritshøj ,2017,50,65
NYHOLMSVEJ,v.f. Ålsøvej,2009,50,45
NYMARKS ALLÉ,sø.f. Tandervej,2018,50,37
NYMARKS ALLÉ ,nv.f. Nymarksvej ,2017,40,44
NYMARKSVEJ ,s.f. indkørsel 10-16 ,2017,40,41
NØJSOMHEDSVEJ,s.f. Fuglsangvej,2018,50,33
NØRREBROGADE,s.f. Trøjborgvej,2018,60,60
NØRREPORT ,nv.f. Studsgade ,2011,50,46
NØRREVÆNGET,ø.f. Egevænget,2010,50,49
OBSTRUPVEJ,sø.f. Baneleddet,2017,40,45
OBSTRUPVEJ ,sø.f. Frøkærparken,2018,40,43
ODDERVEJ,s.f. Kongevejen,2018,60,59
ODDERVEJ ,s.f. Brunbakkevej ,2015,60,66
ODDERVEJ,s.f. Moesgård Allé,2014,80,80
ODDERVEJ,n.f. Langballevej,2018,80,77
ODDERVEJ,s.f. Synnedrupvej,2018,80,80
ODDERVEJ,n.f. Bredgade ,2013,80,85
OKTOBERVEJ,s.f. Sommervej,2010,40,35
ORMSLEVVEJ ,nø.f. Herlufholms Alle ,2016,50,49
ORMSLEVVEJ,v.f. Damtoften,2010,40,44
ORMSLEVVEJ,ø.f. Damtofen,2017,40,34
ORMSLEVVEJ,nv.f. motorvejsbro ,2015,60,59
ORMSLEVVEJ,ø.f. Nordskovvej,2016,80,70 
ORMSLEVVEJ,ø.f. Fredensborgparken,2017,50,51
PALUDAN-MÜLLERS VEJ,"s.f. Randersvej, sv.f rundkørsel ",2018,70,64
PALUDAN-MÜLLERS VEJ,nv.f. Rydevænget ,2018,70,71
PALUDAN-MÜLLERS VEJ,sø.f. Herredsvej,2010,50,49
PALUDAN-MÜLLERS VEJ ,s.f. Sandkås Busvej,2015,50,58
PALUDAN-MÜLLERS VEJ,sø.f. Gustav Wieds Vej ,2014,50,44
POUL MARTIN MØLLERS VEJ,v.f. Kaalunds Vej,2018,50,31
PLANTAGEVEJ,nø.f. Fyrremejsevej ,2014,50,51
PROVSTEPARKVEJ,s.f. Hjulbjergvej,2018,50,45
PRÆSTEGÅRDSVEJ ,v.f. Piganavej ,2017,40,38
PRÆSTEVANGSVEJ ,"ø.f. Præstehaven, vestlige tilslutning ",2014,50,41
RANDERSVEJ,s.f. Hasle Ringvej,2018,60,51
RANDERSVEJ,s.f. Skejbyvej,2018,70,71
RANDERSVEJ ,n.f. Skejbyvej ,2012,70,77
RANDERSVEJ,s.f. østlig tilslutning til Skejby Nordlandsvej,2012,70,78
RANDERSVEJ,s.f. Djurslandmotorvejen ,2018,60,68
RANDERSVEJ ,s.f. Lisbjerg Bygade ,2015,60,63
RANDERSVEJ,s.f Hestebjerrefaldet,2009,70,77
RANDERSVEJ,s.f. Bogenhøjvej,2018,80,80
RANDERSVEJ,n.f. Pannerupvej,2019,70,64
RASBORGVEJ,s.f. Bøgeskovvej,2008,80,50
RINGVEJ SYD,ø.f. Saralyst Allé,2018,70,66
RINGVEJ SYD,v.f. Madsbjergparken ,2014,70,67
RINGVEJ SYD,sø.f. Søren Nymarksvej,2017,70,60
RINGVEJ SYD ,sø.f. Søndervangs Allé ,2011,70,55
RINGVEJ SYD,nv.f. Søndervangs Allé,2017,70,54
RINGVEJ SYD,sø.f. Skanderborgvej,2017,70,65
RISTRUPVEJ,n.f. Sabro Kirkevej,2008,50,43
RISVANGS ALLÉ,nv.f. Bethesdavej,2010,50,48
RISVANGS ALLÉ,sø.f. Spørring Å ,2012,80,74
ROARSVEJ,n.f. Åbyvej,2018,50,27
ROLIGHEDSVEJ,n.f. Harald Selmers Vej,2010,50,54
ROSBJERGVEJ,s.f. Dansk Supermarkeds p-plads ,2013,60,61
ROSBJERGVEJ ,150 m n.f. Silkeborgvej ,2017,60,59
ROSBJERGVEJ ,s.f. Selkærvej ,2013,60,59
RYHAVEVEJ,ø.f. Rytoften,2018,50,50
ROSENVANGS ALLÉ,v.f. Oddervej,2011,50,45
RUNEVEJ,s.f. Runevej,2019,50,48
RYTTERKNÆGTEN ,v.f. Finnedalsvej ,2011,50,29
RÆTEBØLVEJ,ø.f. Espenhøjvej,2010,80,57
RÅHØJVEJ,v.f. Råhøjen ,2013,50,50
SABRO KIRKEVEJ,v.f. Kirsebærvej,2014,50,53
SABRO SKOLEVEJ,n.f. Sabro-Korsvejskolen,2008,50,37
SAMSØGADE,nø.f. Hjarnøgade,2012,50,33
SANDMOSEVEJ,ved nr. 21,2009,50,56
SANDMOSEVEJ ,v.f. Katterhøjvej ,2015,50,49
SARALYST ALLÉ,n.f. Ringvej Syd,2008,50,35
SASTRUPVEJ ,ø.f. Georgsmindevej ,2012,50,41
SEGALTVEJ,nv.f. Bøgehøj,2017,60,60
SEGALTVEJ,nv.f. Bøgehøj (Segalt by),2019,50,49
SELKÆRVEJ,nø.f. Rætebølvej,2018,80,59
SILKEBORGVEJ,v.f. Højbyvej,2015,80,80
SILKEBORGVEJ,ø.f. Rosbjergvej,2017,80,72
SILKEBORGVEJ,v.f. Årslev Møllevej,2012,70,69
SILKEBORGVEJ,ø.f. Hovedgaden,2015,70,69
SILKEBORGVEJ,ø.f. Engbakken,2010,70,62
SILKEBORGVEJ,v.f. Viby Ringvej,2015,70,58
SILKEBORGVEJ,ø.f. Viby Ringvej,2018,60,48
SILKEBORGVEJ ,v.f. Kresten Kolds Vej ,2014,60,52
SILKEBORGVEJ,ø.f. Vestre Ringgade,2017,50,43
SJÆLLANDSGADE,nv. f. Thunøgade,2012,50,26
SKANDERBORGVEJ,sv.f. Grøndalsvej,2018,70,59
SKANDERBORGVEJ,sv.f. Gråstengade,2017,60,49
SKEJBYBAKKEVEJ,n.f. Skæring Havvej,2018,50,52
SKEJBYVEJ,ø.f. Skejbytoften,2010,60,61
SKIBBYVEJ,nø.f. Balsgårdsvej,2019,50,47
SKJOLDHØJVEJ,v.f. Venøvej,2013,70,62 
SKOLEVANGS ALLÉ,s.ø. for Poppelvej,2009,50,41
SKOVAGERVEJ,n.f. Højagervej ,2016,50,49
SKOVVÆNGET,s.f. Hasseltoften ,2014,50,38
SKT. PAULS GADE ,v.f. Marselisborg Allé ,2013,50,30 
SKÆRING HAVVEJ,ø.f. Skæring Hedevej,2014,50,54
SKÆRING HEDEVEJ ,ø.f. Skæring Parkvej,2016,50,46
SKÆRING HEDEVEJ ,n.f. Skæring Havvej,2018,50,52
SKØDSTRUPVEJ ,ø.f. Sortemosevej ,2012,50,53
SKØDSTRUPVEJ ,nø.f. Hjortshøjparken ,2018,60,57
SLETVEJ ,v.f. Ellemosevænget ,2013,50,57
SMEDEBAKKEN,n.f. Gammel Kirkevej,2019,50,31
SNEBÆRVEJ ,n.f. Hjulbjergvej,2013,50,33
SOLBJERG HEDEVEJ,v.f. Hasselvangen,2018,50,49
SOLBJERG HOVEDGADE,ved nr. 43,2009,50,53
SOLBRINKEN ,s.f. Grumstolsvej ,2017,50,28
SONNESGADE ,nv.f. Valdemarsgade ,2017,50,29
SOPHUS BAUDITZ VEJ,n.f. Silkeborgvej,2009,50,33
STATIONSVANGEN,nv.f. Grenåvej ,2014,50,48
STAVANGERGADE,n.f. Oslogade,2018,50,43
STENBÆKVEJ ,n.f. Tranebærvej,2011,50,57
STILLINGVEJ ,n.f. Bjørnkærvej ,2014,60,59
STILLINGVEJ,n.f. Gammel Mosevej,2016,80,85
STOCKHOLMSGADE,v.f. Ystadgade,2015,50,44
STORRINGVEJ,ø.f. Bøgebakken,2017,50,38
SUMATRAVEJ,sv.f. Østhavnsvej,2018,50,47
SØFTENVEJ ,v.f. Nymøllevej ,2018,80,74
SØHOLMVEJ,nv.f. Søkjærvej,2016,40,38
SØLYSTGADE ,sv.f. Sjællandsgade ,2011,50,18
SØNDERSKOVVEJ ,n.f. Hovmarken ,2013,50,56
SØNDERVANGS ALLE,n.f. Ringvej Syd,2016,50,44
SØNDERVANGS ALLE,sv.f. Holme Ringvej ,2016,50,47
SØNDRE RINGGADE ,nv.f. Jyllands Allé ,2018,50,36
SØREN FRICHS VEJ,ø.f. Viby Ringvej,2018,50,47
