given_nameLabel,lastnameLabel,birthdate,deathdate,nationalityLabel,itemDescription,place_of_birthLabel,educated_atLabel,award_receivedLabel
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,Order of Merit
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,Grand Order of King Petar Krešimir IV
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,Grand Order of King Petar Krešimir IV
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,Grand Order of King Petar Krešimir IV
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,Grand Order of King Dmitar Zvonimir
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,Grand Order of King Dmitar Zvonimir
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,Grand Order of King Dmitar Zvonimir
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,Order of the Garter
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,Order of the Garter
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,Order of the Garter
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,Order of Vytautas the Great
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,Order of Vytautas the Great
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,Order of Vytautas the Great
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,Ronald Reagan Freedom Award
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,Ronald Reagan Freedom Award
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,Ronald Reagan Freedom Award
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,Order of Good Hope
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,Order of Good Hope
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,Order of Good Hope
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,Clare Boothe Luce Award
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,Clare Boothe Luce Award
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,Clare Boothe Luce Award
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,Fellow of the Royal Society
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,Fellow of the Royal Society
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,Fellow of the Royal Society
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,Dostyk Order of grade I
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,Dostyk Order of grade I
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,Dostyk Order of grade I
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,Fellow of the Royal Institute of Chemistry
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,Fellow of the Royal Institute of Chemistry
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,Fellow of the Royal Institute of Chemistry
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Somerville College,honorary citizen of Zagreb
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,City Law School,honorary citizen of Zagreb
Margaret,Thatcher,1925-10-13,2013-04-08,United Kingdom,British stateswoman and prime minister (1979–1990),Grantham,Kesteven and Grantham Girls' School,honorary citizen of Zagreb
Marjorie,,1948-03-29,2015-03-25,United Kingdom,Scottish animal researcher and animal surgeon,,,
Mary,,1895-02-19,1991-05-09,Wales,Welsh plant pathologist and mountaineer,Bangor,Bangor University,Order of the British Empire
Mary,,1895-02-19,1991-05-09,United Kingdom,Welsh plant pathologist and mountaineer,Bangor,Bangor University,Order of the British Empire
Mary,,1895-02-19,1991-05-09,United Kingdom of Great Britain and Ireland,Welsh plant pathologist and mountaineer,Bangor,Bangor University,Order of the British Empire
Mary,,1895-02-19,1991-05-09,Wales,Welsh plant pathologist and mountaineer,Bangor,North London Collegiate School,Order of the British Empire
Mary,,1895-02-19,1991-05-09,United Kingdom,Welsh plant pathologist and mountaineer,Bangor,North London Collegiate School,Order of the British Empire
Mary,,1895-02-19,1991-05-09,United Kingdom of Great Britain and Ireland,Welsh plant pathologist and mountaineer,Bangor,North London Collegiate School,Order of the British Empire
Mary,,1895-02-19,1991-05-09,Wales,Welsh plant pathologist and mountaineer,Bangor,"Friars School, Bangor",Order of the British Empire
Mary,,1895-02-19,1991-05-09,United Kingdom,Welsh plant pathologist and mountaineer,Bangor,"Friars School, Bangor",Order of the British Empire
Mary,,1895-02-19,1991-05-09,United Kingdom of Great Britain and Ireland,Welsh plant pathologist and mountaineer,Bangor,"Friars School, Bangor",Order of the British Empire
Mary,Sheridan,1899-01-01,1978-02-14,United Kingdom,,Liverpool,University of Liverpool,
Mary,Sheridan,1899-01-01,1978-02-14,United Kingdom of Great Britain and Ireland,,Liverpool,University of Liverpool,
Olga,,1950-01-01,,United Kingdom,British academic,Russian Soviet Federative Socialist Republic,Moscow Institute of Physics and Technology,
Olga,,1950-01-01,,Russia,British academic,Russian Soviet Federative Socialist Republic,Moscow Institute of Physics and Technology,
Rosalind,,1949-10-21,,United Kingdom,,,Newnham College,
Sharon,Robinson,1961-01-01,,United Kingdom,Antarctic researcher,,University College London,
Stephanie,Amiel,1954-10-17,,United Kingdom,"British physician and academic, specialising in type 1 diabetes",Farnborough,University of London,Fellow of the Royal College of Physicians
Vida,Latham,1866-01-01,1958-01-01,United Kingdom,"British-American dentist, physician, microscopist",,University of Michigan,
Vida,Latham,1866-01-01,1958-01-01,United Kingdom of Great Britain and Ireland,"British-American dentist, physician, microscopist",,University of Michigan,
Vida,Latham,1866-01-01,1958-01-01,United Kingdom,"British-American dentist, physician, microscopist",,Northwestern University,
Vida,Latham,1866-01-01,1958-01-01,United Kingdom of Great Britain and Ireland,"British-American dentist, physician, microscopist",,Northwestern University,
Virginia,Henderson,1897-11-30,1996-03-19,United States of America,"nurse, researcher, theorist and author",Kansas City,Columbia University,Honorary Fellow of the Royal College of Nursing
Virginia,Henderson,1898-01-01,1996-03-19,United States of America,"nurse, researcher, theorist and author",Kansas City,Columbia University,Honorary Fellow of the Royal College of Nursing
Virginia,Henderson,1897-11-30,1996-03-19,United Kingdom,"nurse, researcher, theorist and author",Kansas City,Columbia University,Honorary Fellow of the Royal College of Nursing
Virginia,Henderson,1898-01-01,1996-03-19,United Kingdom,"nurse, researcher, theorist and author",Kansas City,Columbia University,Honorary Fellow of the Royal College of Nursing
Virginia,Henderson,1897-11-30,1996-03-19,United States of America,"nurse, researcher, theorist and author",Kansas City,Teachers College,Honorary Fellow of the Royal College of Nursing
Virginia,Henderson,1898-01-01,1996-03-19,United States of America,"nurse, researcher, theorist and author",Kansas City,Teachers College,Honorary Fellow of the Royal College of Nursing
Virginia,Henderson,1897-11-30,1996-03-19,United Kingdom,"nurse, researcher, theorist and author",Kansas City,Teachers College,Honorary Fellow of the Royal College of Nursing
Virginia,Henderson,1898-01-01,1996-03-19,United Kingdom,"nurse, researcher, theorist and author",Kansas City,Teachers College,Honorary Fellow of the Royal College of Nursing
Virginia,Henderson,1897-11-30,1996-03-19,United States of America,"nurse, researcher, theorist and author",Kansas City,Columbia University,Premio Christiane Reimann
Virginia,Henderson,1898-01-01,1996-03-19,United States of America,"nurse, researcher, theorist and author",Kansas City,Columbia University,Premio Christiane Reimann
Virginia,Henderson,1897-11-30,1996-03-19,United Kingdom,"nurse, researcher, theorist and author",Kansas City,Columbia University,Premio Christiane Reimann
Virginia,Henderson,1898-01-01,1996-03-19,United Kingdom,"nurse, researcher, theorist and author",Kansas City,Columbia University,Premio Christiane Reimann
Virginia,Henderson,1897-11-30,1996-03-19,United States of America,"nurse, researcher, theorist and author",Kansas City,Teachers College,Premio Christiane Reimann
Virginia,Henderson,1898-01-01,1996-03-19,United States of America,"nurse, researcher, theorist and author",Kansas City,Teachers College,Premio Christiane Reimann
Virginia,Henderson,1897-11-30,1996-03-19,United Kingdom,"nurse, researcher, theorist and author",Kansas City,Teachers College,Premio Christiane Reimann
Virginia,Henderson,1898-01-01,1996-03-19,United Kingdom,"nurse, researcher, theorist and author",Kansas City,Teachers College,Premio Christiane Reimann
